Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-01-22 01:00,"24,6",,"0,34"
2024-01-22 02:00,"38,2",,"0,29"
2024-01-22 03:00,"35,3",,"0,27"
2024-01-22 04:00,"25,4",,"0,2"
2024-01-22 05:00,"21,6",,"0,23"
2024-01-22 06:00,"23,5",,"0,56"
2024-01-22 07:00,"38,1",,"0,52"
2024-01-22 08:00,"32,2",,"0,7"
2024-01-22 09:00,"34,7",,"0,42"
2024-01-22 10:00,"33,7",,"0,17"
2024-01-22 11:00,29,,"0,1"
2024-01-22 12:00,"21,7",,"0,1"
2024-01-22 13:00,"23,8",,"0,09"
2024-01-22 14:00,"33,1",,"0,1"
2024-01-22 15:00,"23,1",,"0,11"
2024-01-22 16:00,"21,8",,"0,12"
2024-01-22 17:00,"16,1",,"0,13"
2024-01-22 18:00,"15,7",,"0,14"
2024-01-22 19:00,"10,7",,"0,2"
2024-01-22 20:00,"14,4",,"0,22"
2024-01-22 21:00,"18,9",,"0,29"
2024-01-22 22:00,"14,6",,"0,53"
2024-01-22 23:00,"48,8",,"0,86"
2024-01-22 24:00,"53,2",,"0,61"
2024-01-22 01:00,"24,6",,"0,34"
2024-01-22 02:00,"38,2",,"0,29"
2024-01-22 03:00,"35,3",,"0,27"
2024-01-22 04:00,"25,4",,"0,2"
2024-01-22 05:00,"21,6",,"0,23"
2024-01-22 06:00,"23,5",,"0,56"
2024-01-22 07:00,"38,1",,"0,52"
2024-01-22 08:00,"32,2",,"0,7"
2024-01-22 09:00,"34,7",,"0,42"
2024-01-22 10:00,"33,7",,"0,17"
2024-01-22 11:00,29,,"0,1"
2024-01-22 12:00,"21,7",,"0,1"
2024-01-22 13:00,"23,8",,"0,09"
2024-01-22 14:00,"33,1",,"0,1"
2024-01-22 15:00,"23,1",,"0,11"
2024-01-22 16:00,"21,8",,"0,12"
2024-01-22 17:00,"16,1",,"0,13"
2024-01-22 18:00,"15,7",,"0,14"
2024-01-22 19:00,"10,7",,"0,2"
2024-01-22 20:00,"14,4",,"0,22"
2024-01-22 21:00,"18,9",,"0,29"
2024-01-22 22:00,"14,6",,"0,53"
2024-01-22 23:00,"48,8",,"0,86"
2024-01-22 24:00,"53,2",,"0,61"
2024-01-23 01:00,"51,9",,"0,39"
2024-01-23 02:00,"50,7",,"0,29"
2024-01-23 03:00,"47,6",,"0,26"
2024-01-23 04:00,"40,3",,"0,25"
2024-01-23 05:00,"40,9",,"0,31"
2024-01-23 06:00,"36,6",,"0,49"
2024-01-23 07:00,53,,"0,7"
2024-01-23 08:00,"53,3",,"0,72"
2024-01-23 09:00,"62,7",,"0,72"
2024-01-23 10:00,"70,8",,"0,34"
2024-01-23 11:00,50,,"0,16"
2024-01-23 12:00,"36,7",,"0,13"
2024-01-23 13:00,"28,3",,"0,14"
2024-01-23 14:00,"34,5",,"0,14"
2024-01-23 15:00,"24,8",,"0,13"
2024-01-23 16:00,"25,2",,"0,14"
2024-01-23 17:00,"18,9",,"0,14"
2024-01-23 18:00,"24,8",,"0,16"
2024-01-23 19:00,17,,"0,22"
2024-01-23 20:00,"15,6",,"0,28"
2024-01-23 21:00,"15,3",,"0,34"
2024-01-23 22:00,26,,"0,46"
2024-01-23 23:00,"45,3",,"0,5"
2024-01-23 24:00,"40,3",,"0,39"
2024-01-24 01:00,"37,2",,"0,28"
2024-01-24 02:00,"50,1",,"0,39"
2024-01-24 03:00,"56,3",,"0,57"
2024-01-24 04:00,"60,5",,"0,59"
2024-01-24 05:00,"77,1",,"0,62"
2024-01-24 06:00,"83,6",,"0,88"
2024-01-24 07:00,"96,5",,"0,99"
2024-01-24 08:00,"108,4",,"0,92"
2024-01-24 09:00,"111,5",,"0,74"
2024-01-24 10:00,"92,9",,"0,38"
2024-01-24 11:00,"62,3",,"0,2"
2024-01-24 12:00,"43,7",,"0,12"
2024-01-24 13:00,31,,"0,11"
2024-01-24 14:00,"38,1",,"0,12"
2024-01-24 15:00,"28,4",,"0,1"
2024-01-24 16:00,"26,8",,"0,09"
2024-01-24 17:00,"25,8",,"0,11"
2024-01-24 18:00,"26,6",,"0,12"
2024-01-24 19:00,"18,2",,"0,17"
2024-01-24 20:00,"14,2",,"0,2"
2024-01-24 21:00,"24,2",,"0,3"
2024-01-24 22:00,"32,2",,"0,36"
2024-01-24 23:00,"30,5",,"0,45"
2024-01-24 24:00,"43,5",,"0,43"
2024-01-25 01:00,"35,3",,"0,31"
2024-01-25 02:00,"44,6",,"0,32"
2024-01-25 03:00,"48,1",,"0,38"
2024-01-25 04:00,"47,4",,"0,45"
2024-01-25 05:00,"51,6",,"0,51"
2024-01-25 06:00,"49,6",,"0,62"
