Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-01-22 01:00,24,9,"0,41"
2024-01-22 02:00,28,16,"0,46"
2024-01-22 03:00,19,9,"0,2"
2024-01-22 04:00,31,9,"0,29"
2024-01-22 05:00,15,9,"0,23"
2024-01-22 06:00,15,10,"0,25"
2024-01-22 07:00,31,11,"0,43"
2024-01-22 08:00,45,19,"0,82"
2024-01-22 09:00,27,3,"0,24"
2024-01-22 10:00,27,11,"0,21"
2024-01-22 11:00,58,9,"0,21"
2024-01-22 12:00,66,8,"0,22"
2024-01-22 13:00,25,6,"0,23"
2024-01-22 14:00,37,5,"0,25"
2024-01-22 15:00,38,8,"0,24"
2024-01-22 16:00,26,6,"0,28"
2024-01-22 17:00,27,6,"0,3"
2024-01-22 18:00,18,7,"0,33"
2024-01-22 19:00,19,5,"0,3"
2024-01-22 20:00,18,6,"0,41"
2024-01-22 21:00,54,29,"0,81"
2024-01-22 22:00,45,17,"0,88"
2024-01-22 23:00,55,23,"1,19"
2024-01-22 24:00,57,22,"1,02"
2024-01-22 01:00,24,9,"0,41"
2024-01-22 02:00,28,16,"0,46"
2024-01-22 03:00,19,9,"0,2"
2024-01-22 04:00,31,9,"0,29"
2024-01-22 05:00,15,9,"0,23"
2024-01-22 06:00,15,10,"0,25"
2024-01-22 07:00,31,11,"0,43"
2024-01-22 08:00,45,19,"0,82"
2024-01-22 09:00,27,3,"0,24"
2024-01-22 10:00,27,11,"0,21"
2024-01-22 11:00,58,9,"0,21"
2024-01-22 12:00,66,8,"0,22"
2024-01-22 13:00,25,6,"0,23"
2024-01-22 14:00,37,5,"0,25"
2024-01-22 15:00,38,8,"0,24"
2024-01-22 16:00,26,6,"0,28"
2024-01-22 17:00,27,6,"0,3"
2024-01-22 18:00,18,7,"0,33"
2024-01-22 19:00,19,5,"0,3"
2024-01-22 20:00,18,6,"0,41"
2024-01-22 21:00,54,29,"0,81"
2024-01-22 22:00,45,17,"0,88"
2024-01-22 23:00,55,23,"1,19"
2024-01-22 24:00,57,22,"1,02"
2024-01-23 01:00,51,15,"0,57"
2024-01-23 02:00,32,17,"0,49"
2024-01-23 03:00,37,13,"0,5"
2024-01-23 04:00,39,20,"0,43"
2024-01-23 05:00,72,25,"0,65"
2024-01-23 06:00,83,46,"1,15"
2024-01-23 07:00,92,65,"1,73"
2024-01-23 08:00,84,46,"1,03"
2024-01-23 09:00,53,19,"0,54"
2024-01-23 10:00,43,27,
2024-01-23 11:00,27,11,
2024-01-23 12:00,28,,
2024-01-23 13:00,24,,
2024-01-23 14:00,27,6,"0,22"
2024-01-23 15:00,34,7,"0,23"
2024-01-23 16:00,36,7,"0,24"
2024-01-23 17:00,47,6,"0,28"
2024-01-23 18:00,22,5,"0,36"
2024-01-23 19:00,20,9,"0,42"
2024-01-23 20:00,34,11,"0,39"
2024-01-23 21:00,37,18,"0,44"
2024-01-23 22:00,32,8,"0,39"
2024-01-23 23:00,25,11,"0,44"
2024-01-23 24:00,64,25,"0,94"
2024-01-24 01:00,46,16,"0,56"
2024-01-24 02:00,32,15,"0,5"
2024-01-24 03:00,49,30,"0,5"
2024-01-24 04:00,62,32,"0,62"
2024-01-24 05:00,80,46,"0,8"
2024-01-24 06:00,97,61,"0,9"
2024-01-24 07:00,122,83,"2,39"
2024-01-24 08:00,144,77,"1,91"
2024-01-24 09:00,100,48,"0,9"
2024-01-24 10:00,39,16,"0,31"
2024-01-24 11:00,38,9,"0,24"
2024-01-24 12:00,27,6,"0,21"
2024-01-24 13:00,28,4,"0,22"
2024-01-24 14:00,33,2,"0,22"
2024-01-24 15:00,38,5,"0,24"
2024-01-24 16:00,34,7,"0,27"
2024-01-24 17:00,24,6,"0,3"
2024-01-24 18:00,31,6,"0,34"
2024-01-24 19:00,19,4,"0,29"
2024-01-24 20:00,21,8,"0,24"
2024-01-24 21:00,28,9,"0,3"
2024-01-24 22:00,49,22,"0,76"
2024-01-24 23:00,74,32,"1,31"
2024-01-24 24:00,53,18,"1,07"
2024-01-25 01:00,35,16,"0,63"
2024-01-25 02:00,58,23,"0,72"
2024-01-25 03:00,57,23,"0,91"
2024-01-25 04:00,59,36,"0,66"
2024-01-25 05:00,59,33,"0,73"
2024-01-25 06:00,94,62,"1,27"
2024-01-25 07:00,110,73,"2,44"
2024-01-25 08:00,105,56,"1,25"
2024-01-25 09:00,86,41,"0,63"
2024-01-25 10:00,43,21,"0,4"
2024-01-25 11:00,39,15,"0,32"
2024-01-25 12:00,32,7,"0,29"
2024-01-25 13:00,40,5,"0,26"
2024-01-25 14:00,32,5,"0,27"
2024-01-25 15:00,50,5,"0,26"
2024-01-25 16:00,110,27,"0,38"
2024-01-25 17:00,124,30,"0,34"
2024-01-25 18:00,59,19,"0,34"
2024-01-25 19:00,56,21,"0,36"
2024-01-25 20:00,44,26,"0,46"
2024-01-25 21:00,46,21,"0,48"
2024-01-25 22:00,39,23,"0,46"
2024-01-25 23:00,57,28,"0,75"
2024-01-25 24:00,42,17,"0,51"
2024-01-26 01:00,41,21,"0,44"
2024-01-26 02:00,49,28,"0,54"
2024-01-26 03:00,48,25,"0,56"
2024-01-26 04:00,49,34,"0,54"
2024-01-26 05:00,54,36,"0,66"
2024-01-26 06:00,76,50,"0,87"
2024-01-26 07:00,76,45,"0,72"
2024-01-26 08:00,106,68,"1,05"
2024-01-26 09:00,77,47,"1,05"
2024-01-26 10:00,46,20,"0,42"
2024-01-26 11:00,44,28,"0,3"
2024-01-26 12:00,43,19,"0,3"
2024-01-26 13:00,39,13,"0,26"
2024-01-26 14:00,36,8,"0,24"
2024-01-26 15:00,39,19,"0,27"
2024-01-26 16:00,86,44,"0,41"
2024-01-26 17:00,86,37,"0,37"
2024-01-26 18:00,71,30,"0,35"
2024-01-26 19:00,54,25,"0,38"
2024-01-26 20:00,44,15,"0,38"
2024-01-26 21:00,38,22,"0,4"
2024-01-26 22:00,37,17,"0,32"
2024-01-26 23:00,32,18,"0,33"
2024-01-26 24:00,39,17,"0,38"
2024-01-27 01:00,37,23,"0,49"
2024-01-27 02:00,37,23,"0,48"
2024-01-27 03:00,41,24,"0,47"
2024-01-27 04:00,33,20,"0,55"
2024-01-27 05:00,64,36,"0,54"
2024-01-27 06:00,66,43,"0,6"
2024-01-27 07:00,63,44,"0,7"
2024-01-27 08:00,74,46,"0,97"
2024-01-27 09:00,106,56,"0,89"
2024-01-27 10:00,44,26,"0,42"
2024-01-27 11:00,47,26,"0,48"
2024-01-27 12:00,57,26,"0,51"
2024-01-27 13:00,69,28,"0,46"
2024-01-27 14:00,82,36,"0,38"
2024-01-27 15:00,78,25,"0,28"
2024-01-27 16:00,58,22,"0,28"
2024-01-27 17:00,46,21,"0,3"
2024-01-27 18:00,46,25,"0,32"
2024-01-27 19:00,33,20,"0,33"
2024-01-27 20:00,48,22,"0,32"
2024-01-27 21:00,67,40,"0,82"
2024-01-27 22:00,55,27,"0,6"
2024-01-27 23:00,72,31,"0,75"
2024-01-27 24:00,65,40,"0,55"
2024-01-28 01:00,54,37,"0,56"
2024-01-28 02:00,53,31,"0,52"
2024-01-28 03:00,57,36,"0,53"
2024-01-28 04:00,56,42,"0,63"
2024-01-28 05:00,53,42,"0,7"
2024-01-28 06:00,51,33,"0,69"
2024-01-28 07:00,53,33,"0,67"
2024-01-28 08:00,64,38,"0,61"
2024-01-28 09:00,65,37,"0,54"
2024-01-28 10:00,47,20,"0,38"
2024-01-28 11:00,43,25,"0,35"
2024-01-28 12:00,48,31,"0,4"
2024-01-28 13:00,43,31,"0,37"
2024-01-28 14:00,48,19,"0,32"
2024-01-28 15:00,43,16,"0,31"
2024-01-28 16:00,56,24,"0,3"
2024-01-28 17:00,46,21,"0,31"
2024-01-28 18:00,39,25,"0,34"
2024-01-28 19:00,40,31,"0,34"
2024-01-28 20:00,47,26,"0,36"
2024-01-28 21:00,43,23,"0,42"
2024-01-28 22:00,41,30,"0,48"
2024-01-28 23:00,45,29,"0,46"
2024-01-28 24:00,42,24,"0,4"
2024-01-29 01:00,33,19,"0,31"
2024-01-29 02:00,26,17,"0,29"
2024-01-29 03:00,29,23,"0,28"
2024-01-29 04:00,27,15,"0,27"
2024-01-29 05:00,26,16,"0,29"
2024-01-29 06:00,30,19,"0,41"
2024-01-29 07:00,39,20,"0,54"
