Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-01-22 01:00,"10,8",10,"0,14"
2024-01-22 02:00,"11,5",9,"0,2"
2024-01-22 03:00,"11,7",10,"0,11"
2024-01-22 04:00,"10,9",10,"0,1"
2024-01-22 05:00,"8,7",7,"0,18"
2024-01-22 06:00,"9,8",8,"0,39"
2024-01-22 07:00,"18,4",10,"0,9"
2024-01-22 08:00,"17,1",12,"0,68"
2024-01-22 09:00,16,16,"0,29"
2024-01-22 10:00,"25,3",10,"0,15"
2024-01-22 11:00,"18,6",8,"0,14"
2024-01-22 12:00,"17,6",6,"0,14"
2024-01-22 13:00,"13,1",5,"0,08"
2024-01-22 14:00,"10,3",5,"0,12"
2024-01-22 15:00,8,6,"0,14"
2024-01-22 16:00,,11,"0,16"
2024-01-22 17:00,10,10,"0,17"
2024-01-22 18:00,"9,6",6,"0,25"
2024-01-22 19:00,14,14,"0,31"
2024-01-22 20:00,12,12,"0,29"
2024-01-22 21:00,"14,2",9,"0,39"
2024-01-22 22:00,"22,8",11,"0,6"
2024-01-22 23:00,"17,3",17,"0,47"
2024-01-22 24:00,"29,3",13,"0,18"
2024-01-22 01:00,"10,8",10,"0,14"
2024-01-22 02:00,"11,5",9,"0,2"
2024-01-22 03:00,"11,7",10,"0,11"
2024-01-22 04:00,"10,9",10,"0,1"
2024-01-22 05:00,"8,7",7,"0,18"
2024-01-22 06:00,"9,8",8,"0,39"
2024-01-22 07:00,"18,4",10,"0,9"
2024-01-22 08:00,"17,1",12,"0,68"
2024-01-22 09:00,16,16,"0,29"
2024-01-22 10:00,"25,3",10,"0,15"
2024-01-22 11:00,"18,6",8,"0,14"
2024-01-22 12:00,"17,6",6,"0,14"
2024-01-22 13:00,"13,1",5,"0,08"
2024-01-22 14:00,"10,3",5,"0,12"
2024-01-22 15:00,8,6,"0,14"
2024-01-22 16:00,,11,"0,16"
2024-01-22 17:00,10,10,"0,17"
2024-01-22 18:00,"9,6",6,"0,25"
2024-01-22 19:00,14,14,"0,31"
2024-01-22 20:00,12,12,"0,29"
2024-01-22 21:00,"14,2",9,"0,39"
2024-01-22 22:00,"22,8",11,"0,6"
2024-01-22 23:00,"17,3",17,"0,47"
2024-01-22 24:00,"29,3",13,"0,18"
2024-01-23 01:00,"21,3",8,"0,23"
2024-01-23 02:00,"15,5",5,"0,18"
2024-01-23 03:00,"12,1",8,"0,28"
2024-01-23 04:00,11,11,"0,11"
2024-01-23 05:00,"13,4",6,"0,19"
2024-01-23 06:00,12,3,"0,8"
2024-01-23 07:00,13,13,"1,31"
2024-01-23 08:00,23,23,"0,96"
2024-01-23 09:00,"21,9",10,"0,51"
2024-01-23 10:00,"29,7",6,"0,25"
2024-01-23 11:00,"22,8",0,"0,17"
2024-01-23 12:00,"22,7",2,"0,13"
2024-01-23 13:00,"17,5",6,"0,1"
2024-01-23 14:00,"21,9",7,"0,12"
2024-01-23 15:00,"15,9",5,"0,14"
2024-01-23 16:00,15,6,"0,17"
2024-01-23 17:00,"23,9",11,"0,18"
2024-01-23 18:00,"17,8",,"0,21"
2024-01-23 19:00,,,
2024-01-23 20:00,,,
2024-01-23 21:00,,,
2024-01-23 22:00,,,
2024-01-23 23:00,,,
2024-01-23 24:00,,,
2024-01-24 01:00,,,
2024-01-24 02:00,,,
2024-01-24 03:00,,,
2024-01-24 04:00,,,
2024-01-24 05:00,,,
2024-01-24 06:00,,,
2024-01-24 07:00,,,
2024-01-24 08:00,,,
2024-01-24 09:00,,,
2024-01-24 10:00,,,
2024-01-24 11:00,,,
2024-01-24 12:00,,,
2024-01-24 13:00,,,
2024-01-24 14:00,,,
2024-01-24 15:00,,,
2024-01-24 16:00,,,
2024-01-24 17:00,,,
2024-01-24 18:00,,,
2024-01-24 19:00,,,
2024-01-24 20:00,,,
2024-01-24 21:00,,,
2024-01-24 22:00,,,
2024-01-24 23:00,,,
2024-01-24 24:00,,,
2024-01-25 01:00,,8,
2024-01-25 02:00,,8,
2024-01-25 03:00,,17,
2024-01-25 04:00,,17,
2024-01-25 05:00,,15,
2024-01-25 06:00,,21,
2024-01-25 07:00,,34,
2024-01-25 08:00,,,
2024-01-25 09:00,"70,6",,"1,05"
2024-01-25 10:00,"96,1",,"1,04"
2024-01-25 11:00,"86,4",56,"0,33"
2024-01-25 12:00,"74,2",25,"0,07"
2024-01-25 13:00,"60,1",1,"0,08"
2024-01-25 14:00,"49,6",2,"0,01"
2024-01-25 15:00,"45,7",3,"0,19"
2024-01-25 16:00,"51,7",31,"0,32"
2024-01-25 17:00,"62,8",38,"0,38"
2024-01-25 18:00,72,26,"0,6"
2024-01-25 19:00,"101,7",43,"0,68"
2024-01-25 20:00,"84,5",34,"0,55"
2024-01-25 21:00,90,33,"0,45"
2024-01-25 22:00,"72,2",26,"0,35"
2024-01-25 23:00,"62,3",22,"0,44"
2024-01-25 24:00,"57,7",28,"0,43"
2024-01-26 01:00,"56,4",19,"0,38"
2024-01-26 02:00,51,24,"0,34"
2024-01-26 03:00,"42,9",20,"0,4"
2024-01-26 04:00,"49,3",27,"0,36"
2024-01-26 05:00,"44,7",28,"0,54"
2024-01-26 06:00,"53,1",38,"0,72"
2024-01-26 07:00,"47,6",43,"1,22"
2024-01-26 08:00,62,49,"1,22"
2024-01-26 09:00,"70,6",47,"1,55"
2024-01-26 10:00,81,72,"1,09"
2024-01-26 11:00,"83,6",67,
2024-01-26 12:00,"78,5",77,
2024-01-26 13:00,"87,4",65,"0,48"
2024-01-26 14:00,"73,7",29,"0,29"
2024-01-26 15:00,"49,3",23,"0,47"
2024-01-26 16:00,"45,7",40,"0,61"
2024-01-26 17:00,"53,5",32,"0,59"
2024-01-26 18:00,"72,9",41,"0,73"
2024-01-26 19:00,"90,8",41,"0,9"
2024-01-26 20:00,"87,8",34,"0,87"
2024-01-26 21:00,"80,9",36,"1,02"
2024-01-26 22:00,"68,4",40,"0,98"
2024-01-26 23:00,"60,6",38,"0,85"
2024-01-26 24:00,70,27,"0,57"
2024-01-27 01:00,"52,1",21,"0,36"
2024-01-27 02:00,"46,3",22,"0,38"
2024-01-27 03:00,"48,4",15,"0,44"
2024-01-27 04:00,"43,7",25,"0,42"
2024-01-27 05:00,"35,5",16,"0,5"
2024-01-27 06:00,"37,1",28,"0,55"
2024-01-27 07:00,"48,3",34,"0,65"
2024-01-27 08:00,"42,9",34,"1,16"
2024-01-27 09:00,"66,8",40,"0,92"
2024-01-27 10:00,"62,5",35,"0,51"
2024-01-27 11:00,"51,7",31,"0,51"
2024-01-27 12:00,"42,4",28,"0,61"
2024-01-27 13:00,"46,6",41,"0,55"
2024-01-27 14:00,"53,9",38,"0,51"
2024-01-27 15:00,"73,5",40,"0,41"
2024-01-27 16:00,"78,3",28,"0,41"
2024-01-27 17:00,"68,7",33,"0,39"
2024-01-27 18:00,"71,9",25,"0,5"
2024-01-27 19:00,61,34,"0,61"
2024-01-27 20:00,"47,1",28,"0,78"
2024-01-27 21:00,"62,9",33,"0,84"
2024-01-27 22:00,"61,5",38,"0,88"
