Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-01-22 01:00,10,7,"0,33"
2024-01-22 02:00,8,5,"0,31"
2024-01-22 03:00,6,3,"0,3"
2024-01-22 04:00,11,3,"0,28"
2024-01-22 05:00,14,3,"0,31"
2024-01-22 06:00,10,5,"0,6"
2024-01-22 07:00,15,7,"0,61"
2024-01-22 08:00,40,26,"1,43"
2024-01-22 09:00,23,1,"0,63"
2024-01-22 10:00,17,1,"0,35"
2024-01-22 11:00,14,6,"0,38"
2024-01-22 12:00,15,3,"0,4"
2024-01-22 13:00,16,6,"0,39"
2024-01-22 14:00,16,6,"0,39"
2024-01-22 15:00,10,8,"0,4"
2024-01-22 16:00,16,7,"0,42"
2024-01-22 17:00,19,6,"0,49"
2024-01-22 18:00,16,11,"0,59"
2024-01-22 19:00,30,15,"0,51"
2024-01-22 20:00,19,13,"0,44"
2024-01-22 21:00,15,7,"0,43"
2024-01-22 22:00,7,3,"0,41"
2024-01-22 23:00,9,2,"0,4"
2024-01-22 24:00,11,3,"0,31"
2024-01-22 01:00,10,7,"0,33"
2024-01-22 02:00,8,5,"0,31"
2024-01-22 03:00,6,3,"0,3"
2024-01-22 04:00,11,3,"0,28"
2024-01-22 05:00,14,3,"0,31"
2024-01-22 06:00,10,5,"0,6"
2024-01-22 07:00,15,7,"0,61"
2024-01-22 08:00,40,26,"1,43"
2024-01-22 09:00,23,1,"0,63"
2024-01-22 10:00,17,1,"0,35"
2024-01-22 11:00,14,6,"0,38"
2024-01-22 12:00,15,3,"0,4"
2024-01-22 13:00,16,6,"0,39"
2024-01-22 14:00,16,6,"0,39"
2024-01-22 15:00,10,8,"0,4"
2024-01-22 16:00,16,7,"0,42"
2024-01-22 17:00,19,6,"0,49"
2024-01-22 18:00,16,11,"0,59"
2024-01-22 19:00,30,15,"0,51"
2024-01-22 20:00,19,13,"0,44"
2024-01-22 21:00,15,7,"0,43"
2024-01-22 22:00,7,3,"0,41"
2024-01-22 23:00,9,2,"0,4"
2024-01-22 24:00,11,3,"0,31"
2024-01-23 01:00,7,1,"0,27"
2024-01-23 02:00,6,0,"0,25"
2024-01-23 03:00,3,0,"0,24"
2024-01-23 04:00,2,2,"0,23"
2024-01-23 05:00,6,3,"0,28"
2024-01-23 06:00,8,2,"0,42"
2024-01-23 07:00,24,6,"0,73"
2024-01-23 08:00,55,20,"1,52"
2024-01-23 09:00,85,42,"1,67"
2024-01-23 10:00,21,3,"0,61"
2024-01-23 11:00,20,3,"0,51"
2024-01-23 12:00,23,6,"0,43"
2024-01-23 13:00,15,6,"0,45"
2024-01-23 14:00,17,3,"0,47"
2024-01-23 15:00,22,6,"0,46"
2024-01-23 16:00,24,5,"0,45"
2024-01-23 17:00,27,12,"0,55"
2024-01-23 18:00,28,12,"0,67"
2024-01-23 19:00,24,10,"0,63"
2024-01-23 20:00,63,51,"0,86"
2024-01-23 21:00,31,12,"0,62"
2024-01-23 22:00,11,8,"0,47"
2024-01-23 23:00,15,10,"0,63"
2024-01-23 24:00,14,10,"0,59"
2024-01-24 01:00,11,6,"0,29"
2024-01-24 02:00,14,6,"0,29"
2024-01-24 03:00,12,2,"0,26"
2024-01-24 04:00,11,11,"0,25"
2024-01-24 05:00,11,8,"0,27"
2024-01-24 06:00,24,6,"0,61"
2024-01-24 07:00,31,16,"1,21"
2024-01-24 08:00,83,38,"1,9"
2024-01-24 09:00,64,25,"1,35"
2024-01-24 10:00,57,24,"1,4"
2024-01-24 11:00,17,8,"0,45"
2024-01-24 12:00,7,5,"0,32"
2024-01-24 13:00,17,1,"0,35"
2024-01-24 14:00,24,1,"0,33"
2024-01-24 15:00,19,2,"0,33"
2024-01-24 16:00,17,7,"0,33"
2024-01-24 17:00,11,4,"0,34"
2024-01-24 18:00,14,6,"0,45"
2024-01-24 19:00,24,13,"0,47"
2024-01-24 20:00,33,23,"0,51"
2024-01-24 21:00,30,17,"0,6"
2024-01-24 22:00,76,64,"0,81"
2024-01-24 23:00,23,7,"0,48"
2024-01-24 24:00,17,9,"0,41"
2024-01-25 01:00,15,14,"0,42"
2024-01-25 02:00,12,8,"0,32"
2024-01-25 03:00,17,10,"0,35"
2024-01-25 04:00,31,16,"0,52"
2024-01-25 05:00,34,16,"0,49"
2024-01-25 06:00,37,19,"0,71"
2024-01-25 07:00,32,19,"0,98"
2024-01-25 08:00,68,31,"1,47"
2024-01-25 09:00,116,50,2
2024-01-25 10:00,123,56,"2,21"
2024-01-25 11:00,92,48,"1,48"
2024-01-25 12:00,84,44,"1,1"
2024-01-25 13:00,59,33,"0,9"
2024-01-25 14:00,63,31,"0,59"
2024-01-25 15:00,119,44,"0,92"
2024-01-25 16:00,86,38,"0,98"
2024-01-25 17:00,76,32,"0,98"
2024-01-25 18:00,75,40,"1,17"
2024-01-25 19:00,70,42,"1,25"
2024-01-25 20:00,62,32,"0,98"
2024-01-25 21:00,68,43,"0,84"
2024-01-25 22:00,67,45,"0,81"
2024-01-25 23:00,62,41,"0,88"
2024-01-25 24:00,94,56,"1,31"
2024-01-26 01:00,95,56,"1,52"
2024-01-26 02:00,69,44,"1,18"
2024-01-26 03:00,50,37,"0,85"
2024-01-26 04:00,52,34,"0,71"
