Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-01-22 01:00,14,11,"0,4"
2024-01-22 02:00,26,12,"0,41"
2024-01-22 03:00,23,10,"0,37"
2024-01-22 04:00,10,5,"0,36"
2024-01-22 05:00,10,8,"0,43"
2024-01-22 06:00,19,13,"0,62"
2024-01-22 07:00,25,11,"0,7"
2024-01-22 08:00,25,11,"0,69"
2024-01-22 09:00,31,14,"0,45"
2024-01-22 10:00,22,22,"0,43"
2024-01-22 11:00,18,18,"0,46"
2024-01-22 12:00,17,9,"0,48"
2024-01-22 13:00,18,6,"0,46"
2024-01-22 14:00,18,5,"0,47"
2024-01-22 15:00,21,12,"0,47"
2024-01-22 16:00,21,13,"0,53"
2024-01-22 17:00,19,11,"0,55"
2024-01-22 18:00,25,7,"0,67"
2024-01-22 19:00,15,9,"0,82"
2024-01-22 20:00,26,14,"0,74"
2024-01-22 21:00,30,18,"0,69"
2024-01-22 22:00,27,17,"0,72"
2024-01-22 23:00,27,,"0,68"
2024-01-22 24:00,49,7,"0,46"
2024-01-22 01:00,14,11,"0,4"
2024-01-22 02:00,26,12,"0,41"
2024-01-22 03:00,23,10,"0,37"
2024-01-22 04:00,10,5,"0,36"
2024-01-22 05:00,10,8,"0,43"
2024-01-22 06:00,19,13,"0,62"
2024-01-22 07:00,25,11,"0,7"
2024-01-22 08:00,25,11,"0,69"
2024-01-22 09:00,31,14,"0,45"
2024-01-22 10:00,22,22,"0,43"
2024-01-22 11:00,18,18,"0,46"
2024-01-22 12:00,17,9,"0,48"
2024-01-22 13:00,18,6,"0,46"
2024-01-22 14:00,18,5,"0,47"
2024-01-22 15:00,21,12,"0,47"
2024-01-22 16:00,21,13,"0,53"
2024-01-22 17:00,19,11,"0,55"
2024-01-22 18:00,25,7,"0,67"
2024-01-22 19:00,15,9,"0,82"
2024-01-22 20:00,26,14,"0,74"
2024-01-22 21:00,30,18,"0,69"
2024-01-22 22:00,27,17,"0,72"
2024-01-22 23:00,27,,"0,68"
2024-01-22 24:00,49,7,"0,46"
2024-01-23 01:00,21,19,"0,34"
2024-01-23 02:00,11,10,"0,32"
2024-01-23 03:00,15,14,"0,32"
2024-01-23 04:00,11,9,"0,34"
2024-01-23 05:00,16,7,"0,39"
2024-01-23 06:00,24,14,"0,91"
2024-01-23 07:00,46,19,"1,3"
2024-01-23 08:00,48,11,"0,71"
2024-01-23 09:00,36,9,"0,49"
2024-01-23 10:00,26,8,"0,43"
2024-01-23 11:00,28,8,"0,42"
2024-01-23 12:00,23,6,"0,43"
2024-01-23 13:00,,7,"0,47"
2024-01-23 14:00,31,8,"0,48"
2024-01-23 15:00,30,15,"0,49"
2024-01-23 16:00,23,10,"0,52"
2024-01-23 17:00,28,11,"0,55"
2024-01-23 18:00,25,16,"0,61"
2024-01-23 19:00,37,21,"0,74"
2024-01-23 20:00,37,15,"0,58"
2024-01-23 21:00,25,17,"0,52"
2024-01-23 22:00,32,11,"0,59"
2024-01-23 23:00,26,12,"0,53"
2024-01-23 24:00,21,14,"0,57"
2024-01-24 01:00,24,20,"0,47"
2024-01-24 02:00,36,19,"0,39"
2024-01-24 03:00,29,19,"0,43"
2024-01-24 04:00,25,14,"0,5"
2024-01-24 05:00,,16,"0,51"
2024-01-24 06:00,,38,"1,81"
