Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"28,5",,"0,3"
2024-02-10 02:00,22,,"0,3"
2024-02-10 03:00,21,,"0,26"
2024-02-10 04:00,"21,5",,"0,25"
2024-02-10 05:00,"32,2",,"0,41"
2024-02-10 06:00,"28,4",,"0,61"
2024-02-10 07:00,"45,3",,"1,2"
2024-02-10 08:00,"44,8",,"1,21"
2024-02-10 09:00,"57,9",,"0,63"
2024-02-10 10:00,"49,5",,"0,34"
2024-02-10 11:00,"42,8",,"0,27"
2024-02-10 12:00,"32,4",,"0,13"
2024-02-10 13:00,"32,5",,"0,11"
2024-02-10 14:00,"28,5",,"0,15"
2024-02-10 15:00,"20,2",,"0,12"
2024-02-10 16:00,"14,9",,"0,15"
2024-02-10 17:00,"19,6",,"0,2"
2024-02-10 18:00,"14,9",,"0,17"
2024-02-10 19:00,"10,4",,"0,2"
2024-02-10 20:00,"20,9",,"0,29"
2024-02-10 21:00,"14,5",,"0,36"
2024-02-10 22:00,"17,8",,"0,32"
2024-02-10 23:00,"12,6",,"0,27"
2024-02-10 24:00,"23,3",,"0,43"
2024-02-10 01:00,"28,5",,"0,3"
2024-02-10 02:00,22,,"0,3"
2024-02-10 03:00,21,,"0,26"
2024-02-10 04:00,"21,5",,"0,25"
2024-02-10 05:00,"32,2",,"0,41"
2024-02-10 06:00,"28,4",,"0,61"
2024-02-10 07:00,"45,3",,"1,2"
2024-02-10 08:00,"44,8",,"1,21"
2024-02-10 09:00,"57,9",,"0,63"
2024-02-10 10:00,"49,5",,"0,34"
2024-02-10 11:00,"42,8",,"0,27"
2024-02-10 12:00,"32,4",,"0,13"
2024-02-10 13:00,"32,5",,"0,11"
2024-02-10 14:00,"28,5",,"0,15"
2024-02-10 15:00,"20,2",,"0,12"
2024-02-10 16:00,"14,9",,"0,15"
2024-02-10 17:00,"19,6",,"0,2"
2024-02-10 18:00,"14,9",,"0,17"
2024-02-10 19:00,"10,4",,"0,2"
2024-02-10 20:00,"20,9",,"0,29"
2024-02-10 21:00,"14,5",,"0,36"
2024-02-10 22:00,"17,8",,"0,32"
2024-02-10 23:00,"12,6",,"0,27"
2024-02-10 24:00,"23,3",,"0,43"
2024-02-11 01:00,"33,9",,"0,54"
2024-02-11 02:00,"52,4",,"0,38"
2024-02-11 03:00,"54,6",,"0,25"
2024-02-11 04:00,"45,8",,"0,27"
2024-02-11 05:00,"43,3",,"0,31"
2024-02-11 06:00,"37,8",,"0,37"
2024-02-11 07:00,"42,1",,"0,46"
2024-02-11 08:00,"37,2",,"0,44"
2024-02-11 09:00,"34,8",,"0,25"
2024-02-11 10:00,"37,9",,"0,14"
2024-02-11 11:00,"28,4",,"0,09"
2024-02-11 12:00,28,,"0,03"
2024-02-11 13:00,"20,7",,"0,03"
2024-02-11 14:00,"25,7",,"0,09"
2024-02-11 15:00,"23,8",,"0,07"
