Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,45,16,
2024-02-10 02:00,50,25,
2024-02-10 03:00,58,28,
2024-02-10 04:00,50,14,
2024-02-10 05:00,59,23,
2024-02-10 06:00,66,23,
2024-02-10 07:00,78,16,
2024-02-10 08:00,87,28,
2024-02-10 09:00,102,36,
2024-02-10 10:00,68,18,
2024-02-10 11:00,63,23,
2024-02-10 12:00,51,25,
2024-02-10 13:00,61,28,
2024-02-10 14:00,66,35,
2024-02-10 15:00,49,25,
2024-02-10 16:00,58,22,
2024-02-10 17:00,50,19,
2024-02-10 18:00,49,19,
2024-02-10 19:00,28,24,
2024-02-10 20:00,25,25,
2024-02-10 21:00,36,29,
2024-02-10 22:00,34,8,
2024-02-10 23:00,48,15,
2024-02-10 24:00,47,12,
2024-02-10 01:00,45,16,
2024-02-10 02:00,50,25,
2024-02-10 03:00,58,28,
2024-02-10 04:00,50,14,
2024-02-10 05:00,59,23,
2024-02-10 06:00,66,23,
2024-02-10 07:00,78,16,
2024-02-10 08:00,87,28,
2024-02-10 09:00,102,36,
2024-02-10 10:00,68,18,
2024-02-10 11:00,63,23,
2024-02-10 12:00,51,25,
2024-02-10 13:00,61,28,
2024-02-10 14:00,66,35,
2024-02-10 15:00,49,25,
2024-02-10 16:00,58,22,
2024-02-10 17:00,50,19,
2024-02-10 18:00,49,19,
2024-02-10 19:00,28,24,
2024-02-10 20:00,25,25,
2024-02-10 21:00,36,29,
2024-02-10 22:00,34,8,
2024-02-10 23:00,48,15,
2024-02-10 24:00,47,12,
2024-02-11 01:00,50,21,
2024-02-11 02:00,32,17,
2024-02-11 03:00,47,24,
2024-02-11 04:00,48,20,
2024-02-11 05:00,43,24,
2024-02-11 06:00,53,18,
2024-02-11 07:00,56,27,
2024-02-11 08:00,83,39,
2024-02-11 09:00,52,30,
2024-02-11 10:00,44,21,
2024-02-11 11:00,42,16,
2024-02-11 12:00,48,19,
2024-02-11 13:00,45,24,
2024-02-11 14:00,45,19,
2024-02-11 15:00,44,14,
2024-02-11 16:00,49,23,
2024-02-11 17:00,37,14,
2024-02-11 18:00,23,22,
2024-02-11 19:00,,24,
2024-02-11 20:00,23,18,
2024-02-11 21:00,60,32,
2024-02-11 22:00,56,27,
2024-02-11 23:00,54,18,
2024-02-11 24:00,47,23,
2024-02-12 01:00,35,19,
2024-02-12 02:00,31,18,
2024-02-12 03:00,57,21,
2024-02-12 04:00,97,49,
2024-02-12 05:00,67,31,
2024-02-12 06:00,126,62,
2024-02-12 07:00,97,50,
2024-02-12 08:00,99,38,
2024-02-12 09:00,102,24,
2024-02-12 10:00,95,33,
2024-02-12 11:00,74,26,
2024-02-12 12:00,75,34,
2024-02-12 13:00,96,52,
2024-02-12 14:00,116,48,
2024-02-12 15:00,83,41,
2024-02-12 16:00,81,46,
2024-02-12 17:00,64,37,
2024-02-12 18:00,75,33,
2024-02-12 19:00,82,42,
2024-02-12 20:00,76,38,
2024-02-12 21:00,107,45,
2024-02-12 22:00,91,42,
2024-02-12 23:00,126,56,
2024-02-12 24:00,87,31,
2024-02-13 01:00,66,26,
2024-02-13 02:00,124,75,
2024-02-13 03:00,78,31,
2024-02-13 04:00,88,37,
2024-02-13 05:00,161,70,
2024-02-13 06:00,115,53,
2024-02-13 07:00,120,56,
2024-02-13 08:00,120,49,
2024-02-13 09:00,90,27,
2024-02-13 10:00,75,27,
2024-02-13 11:00,63,32,
2024-02-13 12:00,66,25,
2024-02-13 13:00,71,44,
2024-02-13 14:00,90,43,
2024-02-13 15:00,92,46,
2024-02-13 16:00,94,49,
2024-02-13 17:00,77,36,
2024-02-13 18:00,55,38,
2024-02-13 19:00,66,38,
2024-02-13 20:00,74,45,
2024-02-13 21:00,91,39,
2024-02-13 22:00,72,39,
2024-02-13 23:00,75,36,
2024-02-13 24:00,77,24,
2024-02-14 01:00,59,26,
2024-02-14 02:00,70,24,
2024-02-14 03:00,100,34,
2024-02-14 04:00,121,50,
2024-02-14 05:00,88,37,
2024-02-14 06:00,90,34,
2024-02-14 07:00,77,33,
2024-02-14 08:00,78,29,
2024-02-14 09:00,82,19,
2024-02-14 10:00,90,26,
2024-02-14 11:00,69,40,
2024-02-14 12:00,86,27,
2024-02-14 13:00,77,45,
2024-02-14 14:00,84,27,
2024-02-14 15:00,79,39,
2024-02-14 16:00,95,38,
2024-02-14 17:00,89,42,
2024-02-14 18:00,79,36,
2024-02-14 19:00,71,33,
2024-02-14 20:00,73,37,
2024-02-14 21:00,78,29,
2024-02-14 22:00,59,27,
2024-02-14 23:00,65,34,
2024-02-14 24:00,127,38,
2024-02-15 01:00,89,34,
2024-02-15 02:00,47,27,
2024-02-15 03:00,81,35,
2024-02-15 04:00,94,44,
2024-02-15 05:00,98,47,
2024-02-15 06:00,102,58,
2024-02-15 07:00,106,38,
2024-02-15 08:00,105,52,
2024-02-15 09:00,128,45,
2024-02-15 10:00,142,52,
2024-02-15 11:00,103,42,
2024-02-15 12:00,88,36,
2024-02-15 13:00,77,33,
2024-02-15 14:00,63,30,
2024-02-15 15:00,25,25,
2024-02-15 16:00,89,34,
2024-02-15 17:00,84,32,
2024-02-15 18:00,77,42,
2024-02-15 19:00,68,43,
2024-02-15 20:00,76,39,
2024-02-15 21:00,70,35,
2024-02-15 22:00,60,38,
2024-02-15 23:00,52,24,
2024-02-15 24:00,37,25,
2024-02-16 01:00,52,14,
2024-02-16 02:00,42,28,
2024-02-16 03:00,35,22,
2024-02-16 04:00,48,23,
2024-02-16 05:00,55,29,
2024-02-16 06:00,67,34,
2024-02-16 07:00,87,38,
2024-02-16 08:00,67,37,
2024-02-16 09:00,78,31,
2024-02-16 10:00,83,30,
2024-02-16 11:00,90,28,
2024-02-16 12:00,67,22,
2024-02-16 13:00,76,23,
2024-02-16 14:00,51,23,
2024-02-16 15:00,69,24,
2024-02-16 16:00,44,21,
2024-02-16 17:00,37,34,
2024-02-16 18:00,48,29,
2024-02-16 19:00,48,29,
2024-02-16 20:00,53,20,
2024-02-16 21:00,56,28,
2024-02-16 22:00,48,22,
2024-02-16 23:00,39,24,
2024-02-16 24:00,31,12,
2024-02-17 01:00,35,12,
2024-02-17 02:00,36,13,
2024-02-17 03:00,25,11,
2024-02-17 04:00,31,16,
2024-02-17 05:00,52,36,
2024-02-17 06:00,37,16,
2024-02-17 07:00,44,21,
2024-02-17 08:00,62,35,
2024-02-17 09:00,81,26,
2024-02-17 10:00,82,33,
2024-02-17 11:00,78,21,
2024-02-17 12:00,86,30,
2024-02-17 13:00,84,23,
2024-02-17 14:00,73,27,
2024-02-17 15:00,65,27,
2024-02-17 16:00,43,33,
2024-02-17 17:00,40,20,
2024-02-17 18:00,25,25,
2024-02-17 19:00,27,27,
2024-02-17 20:00,35,30,
2024-02-17 21:00,59,33,
2024-02-17 22:00,50,23,
2024-02-17 23:00,42,27,
2024-02-17 24:00,38,22,
2024-02-18 01:00,64,26,
2024-02-18 02:00,50,22,
2024-02-18 03:00,79,38,
2024-02-18 04:00,51,18,
2024-02-18 05:00,55,26,
2024-02-18 06:00,60,22,
2024-02-18 07:00,74,47,
2024-02-18 08:00,101,39,
2024-02-18 09:00,102,48,
2024-02-18 10:00,83,31,
2024-02-18 11:00,57,22,
2024-02-18 12:00,32,21,
2024-02-18 13:00,29,29,
2024-02-18 14:00,35,17,
2024-02-18 15:00,47,31,
2024-02-18 16:00,45,25,
2024-02-18 17:00,61,28,
2024-02-18 18:00,15,15,
2024-02-18 19:00,,27,
2024-02-18 20:00,30,30,
2024-02-18 21:00,58,35,
2024-02-18 22:00,62,32,
2024-02-18 23:00,77,36,
2024-02-18 24:00,53,29,
2024-02-19 01:00,77,35,
2024-02-19 02:00,57,40,
2024-02-19 03:00,96,43,
2024-02-19 04:00,93,52,
2024-02-19 05:00,89,38,
2024-02-19 06:00,110,47,
2024-02-19 07:00,145,83,
2024-02-19 08:00,132,81,
2024-02-19 09:00,126,49,
2024-02-19 10:00,130,79,
2024-02-19 11:00,114,48,
2024-02-19 12:00,83,41,
2024-02-19 13:00,92,48,
2024-02-19 14:00,81,50,
2024-02-19 15:00,79,60,
2024-02-19 16:00,71,41,
2024-02-19 17:00,58,49,
2024-02-19 18:00,41,41,
2024-02-19 19:00,34,34,
2024-02-19 20:00,29,16,
2024-02-19 21:00,37,16,
2024-02-19 22:00,40,13,
2024-02-19 23:00,46,15,
2024-02-19 24:00,61,15,
2024-02-20 01:00,48,8,
2024-02-20 02:00,47,16,
2024-02-20 03:00,83,38,
2024-02-20 04:00,126,67,
2024-02-20 05:00,146,69,
2024-02-20 06:00,151,85,
2024-02-20 07:00,194,97,
2024-02-20 08:00,222,78,
2024-02-20 09:00,153,72,
2024-02-20 10:00,112,56,
2024-02-20 11:00,75,45,
2024-02-20 12:00,88,38,
2024-02-20 13:00,131,69,
2024-02-20 14:00,100,49,
2024-02-20 15:00,75,33,
2024-02-20 16:00,69,31,
2024-02-20 17:00,49,29,
2024-02-20 18:00,47,32,
2024-02-20 19:00,40,32,
2024-02-20 20:00,39,17,
2024-02-20 21:00,43,26,
2024-02-20 22:00,52,23,
2024-02-20 23:00,51,21,
2024-02-20 24:00,62,18,
