Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,,"4,5","0,15"
2024-02-10 02:00,4,"3,9","0,31"
2024-02-10 03:00,"3,2","3,1","0,38"
2024-02-10 04:00,"6,7","2,5","0,29"
2024-02-10 05:00,"6,3","2,8","0,36"
2024-02-10 06:00,"5,6","2,8","0,44"
2024-02-10 07:00,"7,8",4,"0,89"
2024-02-10 08:00,"19,9","5,8","1,29"
2024-02-10 09:00,39,"11,4","1,06"
2024-02-10 10:00,"44,3","10,3","0,54"
2024-02-10 11:00,"49,6",14,"0,17"
2024-02-10 12:00,"36,1","15,5","0,12"
2024-02-10 13:00,"35,9",11,"0,15"
2024-02-10 14:00,"26,1","9,7","0,16"
2024-02-10 15:00,"20,7",11,"0,14"
2024-02-10 16:00,"15,3",8,"0,14"
2024-02-10 17:00,,"12,9","0,14"
2024-02-10 18:00,"9,7","9,7","0,19"
2024-02-10 19:00,"6,7","6,7","0,16"
2024-02-10 20:00,"4,9","4,6","0,2"
2024-02-10 21:00,"3,6","3,3","0,22"
2024-02-10 22:00,"4,4","4,4","0,18"
2024-02-10 23:00,,"4,1","0,16"
2024-02-10 24:00,,"3,8","0,3"
2024-02-10 01:00,,"4,5","0,15"
2024-02-10 02:00,4,"3,9","0,31"
2024-02-10 03:00,"3,2","3,1","0,38"
2024-02-10 04:00,"6,7","2,5","0,29"
2024-02-10 05:00,"6,3","2,8","0,36"
2024-02-10 06:00,"5,6","2,8","0,44"
2024-02-10 07:00,"7,8",4,"0,89"
2024-02-10 08:00,"19,9","5,8","1,29"
2024-02-10 09:00,39,"11,4","1,06"
2024-02-10 10:00,"44,3","10,3","0,54"
2024-02-10 11:00,"49,6",14,"0,17"
2024-02-10 12:00,"36,1","15,5","0,12"
2024-02-10 13:00,"35,9",11,"0,15"
2024-02-10 14:00,"26,1","9,7","0,16"
2024-02-10 15:00,"20,7",11,"0,14"
2024-02-10 16:00,"15,3",8,"0,14"
2024-02-10 17:00,,"12,9","0,14"
2024-02-10 18:00,"9,7","9,7","0,19"
2024-02-10 19:00,"6,7","6,7","0,16"
2024-02-10 20:00,"4,9","4,6","0,2"
2024-02-10 21:00,"3,6","3,3","0,22"
2024-02-10 22:00,"4,4","4,4","0,18"
2024-02-10 23:00,,"4,1","0,16"
2024-02-10 24:00,,"3,8","0,3"
2024-02-11 01:00,"5,6","3,6","0,3"
2024-02-11 02:00,"6,6","3,1","0,28"
2024-02-11 03:00,"5,7",3,"0,42"
2024-02-11 04:00,"5,3","2,8","0,51"
2024-02-11 05:00,"6,8","2,6","0,48"
2024-02-11 06:00,"8,8","2,4","0,43"
2024-02-11 07:00,"17,7","3,2","0,61"
2024-02-11 08:00,"16,6","3,5","0,75"
2024-02-11 09:00,28,"3,6","0,61"
2024-02-11 10:00,"25,9","4,6","0,43"
2024-02-11 11:00,"29,2","4,3","0,18"
2024-02-11 12:00,"22,6","5,2","0,13"
2024-02-11 13:00,"16,9","8,6","0,13"
2024-02-11 14:00,"15,9",7,"0,13"
2024-02-11 15:00,"22,4","8,9","0,13"
2024-02-11 16:00,"16,6","7,3","0,1"
2024-02-11 17:00,"12,5","6,1","0,1"
2024-02-11 18:00,"9,2","4,2","0,15"
2024-02-11 19:00,7,"3,5","0,28"
2024-02-11 20:00,"12,7",,"0,33"
2024-02-11 21:00,"10,4",,"0,41"
2024-02-11 22:00,"8,4",,"0,46"
2024-02-11 23:00,19,"11,5","0,46"
2024-02-11 24:00,16,"8,4","0,49"
2024-02-12 01:00,"15,8","7,2","0,51"
2024-02-12 02:00,"13,5","5,2","0,73"
2024-02-12 03:00,"23,4","9,3","0,69"
2024-02-12 04:00,"20,5","7,2","0,37"
2024-02-12 05:00,"20,8","8,1","0,36"
2024-02-12 06:00,"19,3","13,7","0,45"
2024-02-12 07:00,"18,2","14,2","0,77"
