Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"11,2","6,5","0,25"
2024-02-10 02:00,"9,8","5,4","0,26"
2024-02-10 03:00,"14,1","4,9","0,26"
2024-02-10 04:00,"10,5","3,9","0,5"
2024-02-10 05:00,"26,3","3,9","0,55"
2024-02-10 06:00,"19,4","4,3","0,75"
2024-02-10 07:00,29,"5,4","0,99"
2024-02-10 08:00,"38,4","5,7","1,37"
2024-02-10 09:00,"47,5","13,6","1,35"
2024-02-10 10:00,"46,4","10,5","0,39"
2024-02-10 11:00,45,"7,4","0,35"
2024-02-10 12:00,33,"6,1","0,32"
2024-02-10 13:00,"35,8","11,4","0,29"
2024-02-10 14:00,"31,1","9,2","0,31"
2024-02-10 15:00,"27,8","7,1","0,3"
2024-02-10 16:00,"29,2","6,7","0,28"
2024-02-10 17:00,21,"5,7","0,33"
2024-02-10 18:00,"14,8","4,2","0,35"
2024-02-10 19:00,"13,2","3,2","0,38"
2024-02-10 20:00,"19,8","6,2","0,42"
2024-02-10 21:00,15,"5,6","0,49"
2024-02-10 22:00,"11,5",5,"0,41"
2024-02-10 23:00,"20,4","4,3","0,38"
2024-02-10 24:00,"15,3","7,1","0,43"
2024-02-10 01:00,"11,2","6,5","0,25"
2024-02-10 02:00,"9,8","5,4","0,26"
2024-02-10 03:00,"14,1","4,9","0,26"
2024-02-10 04:00,"10,5","3,9","0,5"
2024-02-10 05:00,"26,3","3,9","0,55"
2024-02-10 06:00,"19,4","4,3","0,75"
2024-02-10 07:00,29,"5,4","0,99"
2024-02-10 08:00,"38,4","5,7","1,37"
2024-02-10 09:00,"47,5","13,6","1,35"
2024-02-10 10:00,"46,4","10,5","0,39"
2024-02-10 11:00,45,"7,4","0,35"
2024-02-10 12:00,33,"6,1","0,32"
2024-02-10 13:00,"35,8","11,4","0,29"
2024-02-10 14:00,"31,1","9,2","0,31"
2024-02-10 15:00,"27,8","7,1","0,3"
2024-02-10 16:00,"29,2","6,7","0,28"
2024-02-10 17:00,21,"5,7","0,33"
2024-02-10 18:00,"14,8","4,2","0,35"
2024-02-10 19:00,"13,2","3,2","0,38"
2024-02-10 20:00,"19,8","6,2","0,42"
2024-02-10 21:00,15,"5,6","0,49"
2024-02-10 22:00,"11,5",5,"0,41"
2024-02-10 23:00,"20,4","4,3","0,38"
2024-02-10 24:00,"15,3","7,1","0,43"
2024-02-11 01:00,"16,6","6,5","0,54"
2024-02-11 02:00,"26,6","6,3","0,67"
2024-02-11 03:00,"19,7","5,9","0,92"
2024-02-11 04:00,"27,6",7,"0,91"
2024-02-11 05:00,"34,3","6,5","0,82"
2024-02-11 06:00,"34,5","9,2","0,85"
2024-02-11 07:00,"36,7","7,7","1,02"
2024-02-11 08:00,"39,5",10,"1,27"
2024-02-11 09:00,"59,2","20,5","0,6"
2024-02-11 10:00,"48,6","14,7","0,22"
2024-02-11 11:00,"35,4","11,8","0,17"
2024-02-11 12:00,26,"13,9","0,18"
2024-02-11 13:00,"24,2",,"0,18"
2024-02-11 14:00,"29,8","23,5","0,17"
2024-02-11 15:00,22,"19,9","0,17"
2024-02-11 16:00,"16,6","14,9","0,18"
2024-02-11 17:00,"19,8","10,6","0,22"
2024-02-11 18:00,"16,4","7,5","0,36"
2024-02-11 19:00,"16,1","5,8","0,34"
2024-02-11 20:00,"22,2","11,8","0,62"
2024-02-11 21:00,"25,8","8,8","0,27"
2024-02-11 22:00,"23,8","11,3","0,37"
2024-02-11 23:00,"24,9","8,9","0,29"
2024-02-11 24:00,"21,4","7,5","0,19"
2024-02-12 01:00,"45,6","6,3","0,02"
2024-02-12 02:00,"31,5","5,6","0,08"
2024-02-12 03:00,"27,5","5,2","0,2"
2024-02-12 04:00,"19,4","8,5","0,18"
2024-02-12 05:00,"21,1","14,2","0,23"
2024-02-12 06:00,"37,4","13,1","0,35"
2024-02-12 07:00,"36,9","13,8","1,81"
2024-02-12 08:00,"55,1","15,6","0,89"
2024-02-12 09:00,62,27,"0,85"
2024-02-12 10:00,"46,4","20,2","0,87"
2024-02-12 11:00,"58,1","18,5","0,49"
2024-02-12 12:00,"56,7",26,"0,33"
2024-02-12 13:00,"62,1","25,2","0,35"
2024-02-12 14:00,"59,9","32,9","0,25"
2024-02-12 15:00,"63,7",26,"0,3"
2024-02-12 16:00,"63,8","31,6","0,24"
2024-02-12 17:00,"56,7","23,1","0,27"
2024-02-12 18:00,"68,6",29,"0,37"
2024-02-12 19:00,"67,8","23,2","0,56"
2024-02-12 20:00,"59,2","19,7","0,44"
2024-02-12 21:00,"61,3","29,4","0,77"
2024-02-12 22:00,"74,5","30,6","0,65"
2024-02-12 23:00,"67,5","24,4","0,46"
2024-02-12 24:00,"66,6","25,9","0,23"
2024-02-13 01:00,"53,4","26,9","0,56"
2024-02-13 02:00,"53,5","24,9","0,52"
2024-02-13 03:00,"49,5","30,7","0,44"
2024-02-13 04:00,"62,4","36,7","0,58"
2024-02-13 05:00,"73,4","28,3","0,67"
2024-02-13 06:00,"67,4","28,9","1,57"
2024-02-13 07:00,"79,6","26,9","1,22"
2024-02-13 08:00,"81,3","34,6","2,42"
2024-02-13 09:00,"119,2",41,"0,25"
2024-02-13 10:00,"72,9","31,8","0,22"
2024-02-13 11:00,"41,4","23,9","0,14"
2024-02-13 12:00,"30,6","17,8","0,15"
2024-02-13 13:00,"55,5","21,7","0,17"
2024-02-13 14:00,"35,2","20,7","0,4"
2024-02-13 15:00,"48,5","26,3","0,37"
2024-02-13 16:00,"54,1","19,4","0,37"
2024-02-13 17:00,"57,9","22,7","0,39"
2024-02-13 18:00,"56,7","25,5","0,52"
2024-02-13 19:00,"55,5","36,7","0,5"
2024-02-13 20:00,"57,4","26,8","0,53"
2024-02-13 21:00,"58,3","19,5","0,33"
2024-02-13 22:00,"44,8","20,7","0,32"
2024-02-13 23:00,"36,1","20,5","1,13"
2024-02-13 24:00,"54,7","15,1","0,4"
2024-02-14 01:00,"49,9","17,7","0,1"
2024-02-14 02:00,"41,8","14,1","0,09"
2024-02-14 03:00,"42,4","17,1","0,1"
2024-02-14 04:00,"31,1","13,1","0,11"
2024-02-14 05:00,30,"15,7","0,14"
2024-02-14 06:00,"29,1","11,7","0,18"
2024-02-14 07:00,"25,5","8,8","0,28"
2024-02-14 08:00,"22,3","7,5","0,19"
2024-02-14 09:00,"25,4","6,7","0,14"
2024-02-14 10:00,26,"5,9",
2024-02-14 11:00,"28,8","5,5",
2024-02-14 12:00,"33,1",5,
2024-02-14 13:00,"35,8","16,8","0,12"
2024-02-14 14:00,"42,6","17,8","0,13"
2024-02-14 15:00,"44,3","13,8","0,18"
2024-02-14 16:00,"49,2","10,3","0,18"
2024-02-14 17:00,"56,8","8,8","0,22"
2024-02-14 18:00,"57,3","8,6","0,27"
2024-02-14 19:00,"64,7","9,7","0,31"
2024-02-14 20:00,"53,8",12,"0,29"
2024-02-14 21:00,"50,2","20,4","0,27"
2024-02-14 22:00,"36,1","16,8","0,3"
2024-02-14 23:00,"27,7","12,9","0,21"
2024-02-14 24:00,44,"9,6","0,34"
2024-02-15 01:00,34,"8,1","0,29"
2024-02-15 02:00,"25,5","15,1","0,28"
2024-02-15 03:00,"29,3","11,3","0,24"
2024-02-15 04:00,"31,5","13,4","0,25"
2024-02-15 05:00,"31,6","10,1","0,26"
2024-02-15 06:00,"25,9","9,1","0,28"
2024-02-15 07:00,"28,2","11,5","0,35"
2024-02-15 08:00,"24,6","10,9","0,33"
2024-02-15 09:00,"37,7","19,7","0,32"
2024-02-15 10:00,"37,5",14,"0,31"
2024-02-15 11:00,"41,7",11,"0,32"
2024-02-15 12:00,"35,6","17,7","0,33"
2024-02-15 13:00,"37,8","33,7","0,3"
2024-02-15 14:00,44,"23,8","0,3"
2024-02-15 15:00,"39,2","16,6","0,35"
2024-02-15 16:00,35,"12,6","0,32"
2024-02-15 17:00,"30,1","9,9","0,31"
2024-02-15 18:00,"39,1","7,5","0,33"
2024-02-15 19:00,"30,4","5,7","0,46"
2024-02-15 20:00,27,"8,9","0,49"
2024-02-15 21:00,"30,5","6,6","0,43"
2024-02-15 22:00,"21,6","12,2","0,39"
2024-02-15 23:00,"23,1","10,2","0,35"
2024-02-15 24:00,"17,7","11,1","0,39"
2024-02-16 01:00,"25,7","8,7","0,29"
2024-02-16 02:00,"27,9",14,"0,29"
2024-02-16 03:00,"23,5",11,"0,29"
2024-02-16 04:00,"21,5","9,3","0,3"
2024-02-16 05:00,"21,3","12,5","0,36"
2024-02-16 06:00,"19,3","9,9","0,46"
2024-02-16 07:00,"21,3","8,4","0,44"
2024-02-16 08:00,16,"6,7","0,37"
2024-02-16 09:00,"23,3",12,"0,32"
2024-02-16 10:00,"20,1","9,3","0,32"
2024-02-16 11:00,,,"0,31"
2024-02-16 12:00,148,"9,8","0,32"
2024-02-16 13:00,"123,3","8,9","0,29"
2024-02-16 14:00,"78,2",7,"0,32"
2024-02-16 15:00,"63,5","9,5","0,3"
2024-02-16 16:00,"46,2","6,8","0,34"
2024-02-16 17:00,"44,3","6,4","0,3"
2024-02-16 18:00,"45,6","8,3","0,35"
2024-02-16 19:00,"35,4","6,8","0,4"
2024-02-16 20:00,"32,6","5,9","0,47"
2024-02-16 21:00,32,5,"0,45"
2024-02-16 22:00,25,"4,2","0,4"
2024-02-16 23:00,"22,4","5,5","0,39"
2024-02-16 24:00,"18,7","5,1","0,37"
2024-02-17 01:00,15,"4,9","0,23"
2024-02-17 02:00,"14,8","5,6","0,22"
2024-02-17 03:00,"17,5","5,5","0,21"
2024-02-17 04:00,"13,2","5,4","0,22"
2024-02-17 05:00,"10,4","5,3","0,25"
2024-02-17 06:00,"8,2","5,2","0,55"
2024-02-17 07:00,"12,5","5,2","1,82"
2024-02-17 08:00,"18,3","5,6","0,92"
2024-02-17 09:00,"34,2","5,5","0,24"
2024-02-17 10:00,"30,8","5,7","0,24"
2024-02-17 11:00,"31,6","7,2","0,19"
2024-02-17 12:00,"33,5","11,5","0,18"
2024-02-17 13:00,"34,6","13,2","0,18"
2024-02-17 14:00,"30,5","11,3","0,18"
2024-02-17 15:00,"32,8","12,1","0,21"
2024-02-17 16:00,"23,3","11,2","0,21"
2024-02-17 17:00,"22,5","8,5","0,19"
2024-02-17 18:00,21,"6,3","0,25"
2024-02-17 19:00,"21,4","4,6","0,33"
2024-02-17 20:00,"27,3","4,6","0,48"
2024-02-17 21:00,"19,9","3,6","0,33"
2024-02-17 22:00,"14,4","7,4","0,27"
2024-02-17 23:00,"21,5","6,3","0,42"
2024-02-17 24:00,"29,4","6,5","1,57"
2024-02-18 01:00,"29,8","14,2","0,78"
2024-02-18 02:00,"47,8","10,7","0,8"
2024-02-18 03:00,"42,6","9,9","0,95"
2024-02-18 04:00,"46,9",18,"1,29"
2024-02-18 05:00,"64,6","15,9","1,36"
2024-02-18 06:00,"71,1","28,9","1,3"
2024-02-18 07:00,"66,4","32,3","1,85"
2024-02-18 08:00,"74,8","32,6","1,44"
2024-02-18 09:00,68,"38,9","1,4"
2024-02-18 10:00,"74,4","28,4","0,61"
2024-02-18 11:00,"60,4","21,3","0,24"
2024-02-18 12:00,"59,2","21,7","0,23"
2024-02-18 13:00,"42,3",16,"0,22"
2024-02-18 14:00,"30,7","22,5","0,25"
2024-02-18 15:00,"36,5","20,1","0,42"
2024-02-18 16:00,"32,3","14,9","0,39"
2024-02-18 17:00,"33,5","11,6","0,38"
2024-02-18 18:00,"39,9","15,1","0,5"
2024-02-18 19:00,"33,1","14,6","0,55"
2024-02-18 20:00,"30,4","16,1","0,68"
2024-02-18 21:00,"50,4","19,8","1,16"
