Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"13,1","2,6","0,29"
2024-02-10 02:00,"15,6",4,"0,27"
2024-02-10 03:00,"15,8","6,5","0,23"
2024-02-10 04:00,"11,5","7,7","0,21"
2024-02-10 05:00,"8,8","7,8","0,23"
2024-02-10 06:00,10,"6,6","0,27"
2024-02-10 07:00,"13,4","4,9","0,34"
2024-02-10 08:00,"13,5","4,3","0,56"
2024-02-10 09:00,"20,4","4,6","0,48"
2024-02-10 10:00,"27,6","4,9","0,39"
2024-02-10 11:00,"24,4","5,6","0,3"
2024-02-10 12:00,"20,4",5,"0,26"
2024-02-10 13:00,"18,2","4,7","0,25"
2024-02-10 14:00,"14,8","4,3","0,24"
2024-02-10 15:00,"14,6",4,"0,22"
2024-02-10 16:00,"14,1","4,1","0,24"
2024-02-10 17:00,"10,3","4,6","0,24"
2024-02-10 18:00,"7,8",5,"0,23"
2024-02-10 19:00,"11,6","4,6","0,27"
2024-02-10 20:00,"16,4","4,3","0,38"
2024-02-10 21:00,"12,3","4,2","0,36"
2024-02-10 22:00,"10,8","4,2","0,46"
2024-02-10 23:00,"13,5","4,1","0,43"
2024-02-10 24:00,"15,7","4,4","0,45"
2024-02-10 01:00,"13,1","2,6","0,29"
2024-02-10 02:00,"15,6",4,"0,27"
2024-02-10 03:00,"15,8","6,5","0,23"
2024-02-10 04:00,"11,5","7,7","0,21"
2024-02-10 05:00,"8,8","7,8","0,23"
2024-02-10 06:00,10,"6,6","0,27"
2024-02-10 07:00,"13,4","4,9","0,34"
2024-02-10 08:00,"13,5","4,3","0,56"
2024-02-10 09:00,"20,4","4,6","0,48"
2024-02-10 10:00,"27,6","4,9","0,39"
2024-02-10 11:00,"24,4","5,6","0,3"
2024-02-10 12:00,"20,4",5,"0,26"
2024-02-10 13:00,"18,2","4,7","0,25"
2024-02-10 14:00,"14,8","4,3","0,24"
2024-02-10 15:00,"14,6",4,"0,22"
2024-02-10 16:00,"14,1","4,1","0,24"
2024-02-10 17:00,"10,3","4,6","0,24"
2024-02-10 18:00,"7,8",5,"0,23"
2024-02-10 19:00,"11,6","4,6","0,27"
2024-02-10 20:00,"16,4","4,3","0,38"
2024-02-10 21:00,"12,3","4,2","0,36"
2024-02-10 22:00,"10,8","4,2","0,46"
2024-02-10 23:00,"13,5","4,1","0,43"
2024-02-10 24:00,"15,7","4,4","0,45"
2024-02-11 01:00,"14,2","4,8","0,35"
2024-02-11 02:00,"14,6","5,6","0,32"
2024-02-11 03:00,"14,6","6,8","0,34"
2024-02-11 04:00,"15,4","6,4","0,36"
2024-02-11 05:00,"14,1","5,7","0,36"
2024-02-11 06:00,"15,7","5,2","0,37"
2024-02-11 07:00,19,"9,3","0,4"
2024-02-11 08:00,"24,7",14,"0,42"
2024-02-11 09:00,25,"10,9","0,37"
2024-02-11 10:00,"23,3","8,9","0,28"
2024-02-11 11:00,"22,6",7,"0,25"
2024-02-11 12:00,"16,4","6,2","0,22"
2024-02-11 13:00,12,"5,2","0,22"
2024-02-11 14:00,"9,6","4,6","0,23"
2024-02-11 15:00,"8,7","4,5","0,22"
2024-02-11 16:00,"7,2","4,2","0,22"
2024-02-11 17:00,"10,6","10,5","0,23"
2024-02-11 18:00,,"20,3","0,25"
2024-02-11 19:00,"18,6","18,5","0,26"
2024-02-11 20:00,16,16,"0,27"
2024-02-11 21:00,"15,1","14,6","0,27"
2024-02-11 22:00,"19,2","10,7","0,29"
2024-02-11 23:00,"18,2",8,"0,36"
2024-02-11 24:00,"20,1","10,1","0,28"
2024-02-12 01:00,"21,6","13,6","0,29"
2024-02-12 02:00,"20,7","10,2","0,27"
2024-02-12 03:00,"20,3","9,4","0,28"
2024-02-12 04:00,"21,7","10,5","0,29"
2024-02-12 05:00,"29,1","13,3","0,29"
2024-02-12 06:00,27,"15,9","0,35"
2024-02-12 07:00,"30,2","13,5","0,51"
2024-02-12 08:00,"42,4","15,6","0,7"
2024-02-12 09:00,"45,7","17,3","0,54"
2024-02-12 10:00,,,
2024-02-12 11:00,,,
2024-02-12 12:00,,,
2024-02-12 13:00,,,
2024-02-12 14:00,,,
2024-02-12 15:00,,,
2024-02-12 16:00,,,
2024-02-12 17:00,,,
2024-02-12 18:00,,,
2024-02-12 19:00,,,
2024-02-12 20:00,,,
2024-02-12 21:00,,,
2024-02-12 22:00,,,
2024-02-12 23:00,,,
2024-02-12 24:00,,,
2024-02-13 01:00,,,
2024-02-13 02:00,,,
2024-02-13 03:00,,,
2024-02-13 04:00,,,
2024-02-13 05:00,,,
2024-02-13 06:00,,,
2024-02-13 07:00,,,
2024-02-13 08:00,,,
2024-02-13 09:00,,,
2024-02-13 10:00,"63,4","21,6","0,31"
2024-02-13 11:00,"49,3","21,4","0,26"
2024-02-13 12:00,"35,6",16,"0,25"
2024-02-13 13:00,"25,9","11,9","0,25"
2024-02-13 14:00,"19,4","8,3","0,26"
2024-02-13 15:00,"17,7","5,8","0,29"
2024-02-13 16:00,"24,8","4,3","0,33"
2024-02-13 17:00,"40,2","9,3","0,29"
2024-02-13 18:00,"49,6","18,6","0,36"
2024-02-13 19:00,"47,8","23,8","0,46"
2024-02-13 20:00,"41,6","26,4","0,43"
2024-02-13 21:00,"35,4","19,1","0,36"
2024-02-13 22:00,"30,9","14,3","0,34"
2024-02-13 23:00,"30,9","11,7","0,35"
2024-02-13 24:00,"28,9","13,8","0,3"
2024-02-14 01:00,"24,9","19,1","0,29"
2024-02-14 02:00,"23,6","19,7","0,31"
2024-02-14 03:00,25,"16,8","0,31"
2024-02-14 04:00,"30,5","15,5","0,28"
2024-02-14 05:00,24,"13,3","0,29"
2024-02-14 06:00,"20,9","13,2","0,34"
2024-02-14 07:00,"22,1","12,4","0,48"
2024-02-14 08:00,"23,9","13,1","0,5"
2024-02-14 09:00,28,"9,8","0,43"
2024-02-14 10:00,"24,2","7,6","0,37"
2024-02-14 11:00,"17,4","6,6","0,35"
2024-02-14 12:00,"14,9","5,6","0,36"
2024-02-14 13:00,"15,4","5,4","0,34"
2024-02-14 14:00,"17,5","5,4","0,33"
2024-02-14 15:00,"23,3","6,4","0,34"
2024-02-14 16:00,"23,8","9,7","0,34"
2024-02-14 17:00,"25,9",12,"0,4"
2024-02-14 18:00,"28,8","13,8","0,4"
2024-02-14 19:00,"27,1",16,"0,44"
2024-02-14 20:00,"23,8","15,4","0,44"
2024-02-14 21:00,25,"14,7","0,44"
2024-02-14 22:00,30,"13,3","0,45"
2024-02-14 23:00,"25,7",14,"0,44"
2024-02-14 24:00,"22,9",17,"0,38"
2024-02-15 01:00,"25,4","15,2","0,29"
2024-02-15 02:00,"29,5","14,7","0,28"
2024-02-15 03:00,"33,4","10,9","0,27"
2024-02-15 04:00,"26,7","9,9","0,24"
2024-02-15 05:00,"24,9","12,2","0,26"
2024-02-15 06:00,"21,9","17,9","0,3"
2024-02-15 07:00,"21,9","21,8","0,44"
2024-02-15 08:00,"31,3","18,2","0,43"
2024-02-15 09:00,"34,3","14,4","0,41"
2024-02-15 10:00,"25,1","10,9","0,38"
2024-02-15 11:00,"22,9","12,8","0,32"
2024-02-15 12:00,"26,7",16,"0,3"
2024-02-15 13:00,24,12,"0,29"
2024-02-15 14:00,"18,3",9,"0,29"
2024-02-15 15:00,17,"6,7","0,33"
2024-02-15 16:00,23,"5,8","0,31"
2024-02-15 17:00,"26,8","5,4","0,32"
2024-02-15 18:00,"25,5","5,1","0,35"
2024-02-15 19:00,"21,7","5,9","0,39"
2024-02-15 20:00,"21,9","8,2","0,42"
2024-02-15 21:00,"28,2","10,6","0,38"
2024-02-15 22:00,"30,3","10,2","0,42"
2024-02-15 23:00,"23,5","11,5","0,41"
2024-02-15 24:00,"20,2","13,6","0,35"
2024-02-16 01:00,"16,6","10,7","0,29"
2024-02-16 02:00,"15,6","9,6","0,28"
2024-02-16 03:00,"15,8","9,2","0,25"
2024-02-16 04:00,"18,9","10,7","0,28"
2024-02-16 05:00,"18,7","13,4","0,27"
2024-02-16 06:00,"14,1","9,8","0,34"
2024-02-16 07:00,"15,1","9,5","0,49"
2024-02-16 08:00,"19,7","10,5","0,51"
2024-02-16 09:00,"17,3","8,7",
2024-02-16 10:00,,,
2024-02-16 11:00,0,,
2024-02-16 12:00,"47,5","11,7",
2024-02-16 13:00,34,"16,5",
2024-02-16 14:00,"28,8","12,2","0,34"
2024-02-16 15:00,31,"9,7","0,36"
2024-02-16 16:00,"30,1","7,3","0,32"
2024-02-16 17:00,"22,1","5,9","0,34"
2024-02-16 18:00,"15,5","7,3","0,36"
2024-02-16 19:00,"16,3","5,3","0,4"
2024-02-16 20:00,"13,5","4,3","0,38"
2024-02-16 21:00,"14,6",4,"0,4"
2024-02-16 22:00,"11,5","7,4","0,39"
2024-02-16 23:00,"12,2","7,1","0,37"
2024-02-16 24:00,"9,7","6,3","0,33"
2024-02-17 01:00,"8,1",6,"0,22"
2024-02-17 02:00,"6,8","5,6","0,2"
2024-02-17 03:00,"5,4","5,4","0,17"
2024-02-17 04:00,"7,1",7,"0,17"
2024-02-17 05:00,"9,5","6,7","0,18"
2024-02-17 06:00,"7,9","6,5","0,19"
2024-02-17 07:00,"10,3","6,3","0,27"
2024-02-17 08:00,"17,2","6,4","0,39"
2024-02-17 09:00,"25,1","6,4","0,35"
2024-02-17 10:00,"19,8","6,2","0,29"
2024-02-17 11:00,"21,8","6,3","0,26"
2024-02-17 12:00,"15,6","6,7","0,21"
2024-02-17 13:00,"11,9",7,"0,2"
2024-02-17 14:00,"14,4","6,5","0,18"
2024-02-17 15:00,"16,9","6,7","0,18"
2024-02-17 16:00,"12,5","5,8","0,19"
2024-02-17 17:00,"13,4",7,"0,19"
2024-02-17 18:00,"17,1","7,6","0,25"
2024-02-17 19:00,"11,7","6,6","0,25"
2024-02-17 20:00,"14,1",6,"0,27"
2024-02-17 21:00,17,7,"0,29"
2024-02-17 22:00,"25,8","9,2","0,36"
2024-02-17 23:00,"18,4","10,2","0,31"
2024-02-17 24:00,"22,4","8,4","0,3"
2024-02-18 01:00,27,"13,6","0,4"
2024-02-18 02:00,19,"10,8","0,39"
2024-02-18 03:00,"20,1","9,4","0,42"
2024-02-18 04:00,"17,3","17,2","0,42"
2024-02-18 05:00,"19,8","13,2","0,44"
2024-02-18 06:00,"26,2","13,2","0,48"
2024-02-18 07:00,"25,6","11,9","0,48"
2024-02-18 08:00,"28,9","18,6","0,57"
2024-02-18 09:00,"39,8","23,6","0,53"
2024-02-18 10:00,"28,6","17,7","0,38"
2024-02-18 11:00,"28,9","13,7","0,31"
2024-02-18 12:00,"35,6","17,3","0,29"
2024-02-18 13:00,"27,8","15,8","0,28"
2024-02-18 14:00,24,"12,3","0,27"
2024-02-18 15:00,"20,1","9,1","0,25"
2024-02-18 16:00,"15,4","6,5","0,28"
2024-02-18 17:00,"20,4","5,7","0,28"
2024-02-18 18:00,"30,2","12,3","0,28"
