Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"11,3","11,3","0,47"
2024-02-10 02:00,"16,6","16,6","0,44"
2024-02-10 03:00,15,11,"0,39"
2024-02-10 04:00,"15,3","10,8","0,4"
2024-02-10 05:00,"21,5","9,8","0,45"
2024-02-10 06:00,"44,8","24,7","0,52"
2024-02-10 07:00,"47,5","21,6","0,7"
2024-02-10 08:00,"69,4","32,6","0,92"
2024-02-10 09:00,"79,8","43,1","0,91"
2024-02-10 10:00,"41,2","27,4","0,79"
2024-02-10 11:00,"31,3","17,6","0,61"
2024-02-10 12:00,"26,5","12,1","0,44"
2024-02-10 13:00,"18,6","14,6","0,4"
2024-02-10 14:00,"17,6","7,9","0,38"
2024-02-10 15:00,"20,8","6,8","0,34"
2024-02-10 16:00,"17,5","4,2","0,34"
2024-02-10 17:00,"8,9","8,8","0,36"
2024-02-10 18:00,"12,6","6,9","0,38"
2024-02-10 19:00,24,6,"0,42"
2024-02-10 20:00,"14,9","6,3","0,46"
2024-02-10 21:00,"19,1","11,7","0,49"
2024-02-10 22:00,"15,3","8,2","0,54"
2024-02-10 23:00,"19,7","13,2","0,67"
2024-02-10 24:00,"32,3","16,8","0,68"
2024-02-10 01:00,"11,3","11,3","0,47"
2024-02-10 02:00,"16,6","16,6","0,44"
2024-02-10 03:00,15,11,"0,39"
2024-02-10 04:00,"15,3","10,8","0,4"
2024-02-10 05:00,"21,5","9,8","0,45"
2024-02-10 06:00,"44,8","24,7","0,52"
2024-02-10 07:00,"47,5","21,6","0,7"
2024-02-10 08:00,"69,4","32,6","0,92"
2024-02-10 09:00,"79,8","43,1","0,91"
2024-02-10 10:00,"41,2","27,4","0,79"
2024-02-10 11:00,"31,3","17,6","0,61"
2024-02-10 12:00,"26,5","12,1","0,44"
2024-02-10 13:00,"18,6","14,6","0,4"
2024-02-10 14:00,"17,6","7,9","0,38"
2024-02-10 15:00,"20,8","6,8","0,34"
2024-02-10 16:00,"17,5","4,2","0,34"
2024-02-10 17:00,"8,9","8,8","0,36"
2024-02-10 18:00,"12,6","6,9","0,38"
2024-02-10 19:00,24,6,"0,42"
2024-02-10 20:00,"14,9","6,3","0,46"
2024-02-10 21:00,"19,1","11,7","0,49"
2024-02-10 22:00,"15,3","8,2","0,54"
2024-02-10 23:00,"19,7","13,2","0,67"
2024-02-10 24:00,"32,3","16,8","0,68"
2024-02-11 01:00,"23,1","14,6","0,58"
2024-02-11 02:00,"21,2","8,7","0,5"
2024-02-11 03:00,31,"21,3","0,5"
2024-02-11 04:00,"22,6","11,3","0,5"
2024-02-11 05:00,"31,8","17,1","0,54"
2024-02-11 06:00,"36,3",19,"0,53"
2024-02-11 07:00,"40,4","19,1","0,55"
2024-02-11 08:00,"52,6","21,3","0,74"
2024-02-11 09:00,"48,2","27,7","0,76"
2024-02-11 10:00,"31,3","22,7","0,69"
2024-02-11 11:00,"18,6","18,6","0,5"
2024-02-11 12:00,"20,8","12,9","0,41"
2024-02-11 13:00,"16,4","11,6","0,34"
2024-02-11 14:00,"23,8",6,"0,29"
2024-02-11 15:00,23,"6,2","0,3"
2024-02-11 16:00,"22,1","10,2","0,3"
2024-02-11 17:00,"17,5","14,6","0,31"
2024-02-11 18:00,"16,1","9,3","0,3"
2024-02-11 19:00,"20,6",15,"0,33"
2024-02-11 20:00,16,16,"0,38"
2024-02-11 21:00,"24,1","15,9","0,42"
2024-02-11 22:00,"26,1","15,4","0,56"
2024-02-11 23:00,"30,8","22,6","0,64"
2024-02-11 24:00,"25,1","16,9","0,64"
2024-02-12 01:00,"26,1","16,2","0,59"
2024-02-12 02:00,"26,1","19,6","0,52"
2024-02-12 03:00,"22,6","14,2","0,44"
2024-02-12 04:00,"28,1","17,9","0,41"
2024-02-12 05:00,38,"17,2","0,43"
2024-02-12 06:00,"33,6",22,"0,57"
2024-02-12 07:00,"39,9","22,8","0,89"
2024-02-12 08:00,"54,6","37,2","1,08"
2024-02-12 09:00,50,"23,9","0,84"
2024-02-12 10:00,"34,8","22,5","0,65"
2024-02-12 11:00,"33,3","15,5","0,53"
2024-02-12 12:00,"29,6","23,6","0,52"
2024-02-12 13:00,"30,2","18,2","0,61"
2024-02-12 14:00,"44,1","23,7","0,68"
2024-02-12 15:00,"54,6","35,7","0,6"
2024-02-12 16:00,53,32,"0,72"
2024-02-12 17:00,"52,1","32,8","0,45"
2024-02-12 18:00,"47,6",30,"0,44"
2024-02-12 19:00,45,31,"0,57"
2024-02-12 20:00,"41,7","32,1","0,63"
2024-02-12 21:00,"50,6","33,6","0,58"
2024-02-12 22:00,"51,9","28,6","0,61"
2024-02-12 23:00,"62,1","39,2","0,55"
2024-02-12 24:00,"35,5","26,8","0,41"
2024-02-13 01:00,"29,7","25,6","0,38"
2024-02-13 02:00,"39,9","36,8","0,4"
2024-02-13 03:00,"44,5","34,5","0,43"
2024-02-13 04:00,"42,1","42,1","0,48"
