Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,15,6,"0,24"
2024-02-10 02:00,16,3,"0,24"
2024-02-10 03:00,18,6,"0,32"
2024-02-10 04:00,18,6,"0,35"
2024-02-10 05:00,34,9,"0,42"
2024-02-10 06:00,25,12,"0,42"
2024-02-10 07:00,28,14,"0,44"
2024-02-10 08:00,31,15,"0,62"
2024-02-10 09:00,20,14,"0,53"
2024-02-10 10:00,22,8,"0,31"
2024-02-10 11:00,17,7,"0,24"
2024-02-10 12:00,15,13,"0,28"
2024-02-10 13:00,15,8,"0,24"
2024-02-10 14:00,19,6,"0,26"
2024-02-10 15:00,18,4,"0,28"
2024-02-10 16:00,28,5,"0,35"
2024-02-10 17:00,23,11,"0,29"
2024-02-10 18:00,15,7,"0,31"
2024-02-10 19:00,17,7,"0,44"
2024-02-10 20:00,18,6,"0,37"
2024-02-10 21:00,30,6,"0,46"
2024-02-10 22:00,27,9,"0,47"
2024-02-10 23:00,15,8,"0,33"
2024-02-10 24:00,31,13,"0,68"
2024-02-10 01:00,15,6,"0,24"
2024-02-10 02:00,16,3,"0,24"
2024-02-10 03:00,18,6,"0,32"
2024-02-10 04:00,18,6,"0,35"
2024-02-10 05:00,34,9,"0,42"
2024-02-10 06:00,25,12,"0,42"
2024-02-10 07:00,28,14,"0,44"
2024-02-10 08:00,31,15,"0,62"
2024-02-10 09:00,20,14,"0,53"
2024-02-10 10:00,22,8,"0,31"
2024-02-10 11:00,17,7,"0,24"
2024-02-10 12:00,15,13,"0,28"
2024-02-10 13:00,15,8,"0,24"
2024-02-10 14:00,19,6,"0,26"
2024-02-10 15:00,18,4,"0,28"
2024-02-10 16:00,28,5,"0,35"
2024-02-10 17:00,23,11,"0,29"
2024-02-10 18:00,15,7,"0,31"
2024-02-10 19:00,17,7,"0,44"
2024-02-10 20:00,18,6,"0,37"
2024-02-10 21:00,30,6,"0,46"
2024-02-10 22:00,27,9,"0,47"
2024-02-10 23:00,15,8,"0,33"
2024-02-10 24:00,31,13,"0,68"
2024-02-11 01:00,35,14,"0,77"
2024-02-11 02:00,39,11,"0,86"
2024-02-11 03:00,26,10,"0,65"
2024-02-11 04:00,27,12,"0,6"
