Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"13,5","2,9","0,26"
2024-02-10 02:00,"10,1","4,6","0,19"
2024-02-10 03:00,"7,7","4,6","0,19"
2024-02-10 04:00,"13,5","4,4","0,29"
2024-02-10 05:00,"14,6","6,8","0,44"
2024-02-10 06:00,"12,7","6,5","0,92"
2024-02-10 07:00,"35,8","8,2","1,15"
2024-02-10 08:00,44,"15,9","1,34"
2024-02-10 09:00,"47,5","12,1","1,04"
2024-02-10 10:00,"54,6","28,9","0,3"
2024-02-10 11:00,"39,8","22,6","0,28"
2024-02-10 12:00,"37,8","19,4","0,22"
2024-02-10 13:00,"30,2","22,1","0,22"
2024-02-10 14:00,"21,8","16,6","0,26"
2024-02-10 15:00,"16,2","12,2","0,27"
2024-02-10 16:00,"18,2",9,"0,26"
2024-02-10 17:00,"17,6","7,2","0,31"
2024-02-10 18:00,"13,4","5,9","0,32"
2024-02-10 19:00,"9,3","4,3","0,34"
2024-02-10 20:00,"6,4","3,1","0,52"
2024-02-10 21:00,"4,5","2,3","0,41"
2024-02-10 22:00,"4,8","4,8","0,3"
2024-02-10 23:00,"10,1","4,1","0,32"
2024-02-10 24:00,"11,4","3,7","0,34"
2024-02-10 01:00,"13,5","2,9","0,26"
2024-02-10 02:00,"10,1","4,6","0,19"
2024-02-10 03:00,"7,7","4,6","0,19"
2024-02-10 04:00,"13,5","4,4","0,29"
2024-02-10 05:00,"14,6","6,8","0,44"
2024-02-10 06:00,"12,7","6,5","0,92"
2024-02-10 07:00,"35,8","8,2","1,15"
2024-02-10 08:00,44,"15,9","1,34"
2024-02-10 09:00,"47,5","12,1","1,04"
2024-02-10 10:00,"54,6","28,9","0,3"
2024-02-10 11:00,"39,8","22,6","0,28"
2024-02-10 12:00,"37,8","19,4","0,22"
2024-02-10 13:00,"30,2","22,1","0,22"
2024-02-10 14:00,"21,8","16,6","0,26"
2024-02-10 15:00,"16,2","12,2","0,27"
2024-02-10 16:00,"18,2",9,"0,26"
2024-02-10 17:00,"17,6","7,2","0,31"
2024-02-10 18:00,"13,4","5,9","0,32"
2024-02-10 19:00,"9,3","4,3","0,34"
2024-02-10 20:00,"6,4","3,1","0,52"
2024-02-10 21:00,"4,5","2,3","0,41"
2024-02-10 22:00,"4,8","4,8","0,3"
2024-02-10 23:00,"10,1","4,1","0,32"
2024-02-10 24:00,"11,4","3,7","0,34"
2024-02-11 01:00,12,"3,3","0,22"
2024-02-11 02:00,"8,6","3,4","0,69"
