Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"36,7","5,9","0,54"
2024-02-10 02:00,"43,9","7,7","0,55"
2024-02-10 03:00,"37,4","8,8","0,51"
2024-02-10 04:00,"31,6","7,8","0,39"
2024-02-10 05:00,"31,2","9,7","0,61"
2024-02-10 06:00,"41,3","12,4","0,66"
2024-02-10 07:00,41,"16,2","0,72"
2024-02-10 08:00,"45,1","17,6","0,94"
2024-02-10 09:00,"56,7","22,8","0,81"
2024-02-10 10:00,59,"20,9","0,78"
2024-02-10 11:00,"70,9","26,4","0,62"
2024-02-10 12:00,"56,8","19,8","0,6"
2024-02-10 13:00,"47,6","20,9","0,7"
2024-02-10 14:00,"46,5","15,8","0,79"
2024-02-10 15:00,"43,2","11,5","0,76"
2024-02-10 16:00,"40,9","9,5","0,67"
2024-02-10 17:00,"39,5","7,5","0,77"
2024-02-10 18:00,"29,7","6,2","0,78"
2024-02-10 19:00,28,"4,4","0,9"
2024-02-10 20:00,"26,7","3,2","1,05"
2024-02-10 21:00,"23,9","2,4","0,9"
2024-02-10 22:00,28,"1,9","0,68"
2024-02-10 23:00,20,"1,6","0,69"
2024-02-10 24:00,"18,2","2,7","0,72"
2024-02-10 01:00,"36,7","5,9","0,54"
2024-02-10 02:00,"43,9","7,7","0,55"
2024-02-10 03:00,"37,4","8,8","0,51"
2024-02-10 04:00,"31,6","7,8","0,39"
2024-02-10 05:00,"31,2","9,7","0,61"
2024-02-10 06:00,"41,3","12,4","0,66"
2024-02-10 07:00,41,"16,2","0,72"
2024-02-10 08:00,"45,1","17,6","0,94"
2024-02-10 09:00,"56,7","22,8","0,81"
2024-02-10 10:00,59,"20,9","0,78"
2024-02-10 11:00,"70,9","26,4","0,62"
2024-02-10 12:00,"56,8","19,8","0,6"
2024-02-10 13:00,"47,6","20,9","0,7"
2024-02-10 14:00,"46,5","15,8","0,79"
2024-02-10 15:00,"43,2","11,5","0,76"
2024-02-10 16:00,"40,9","9,5","0,67"
2024-02-10 17:00,"39,5","7,5","0,77"
2024-02-10 18:00,"29,7","6,2","0,78"
2024-02-10 19:00,28,"4,4","0,9"
2024-02-10 20:00,"26,7","3,2","1,05"
2024-02-10 21:00,"23,9","2,4","0,9"
2024-02-10 22:00,28,"1,9","0,68"
2024-02-10 23:00,20,"1,6","0,69"
2024-02-10 24:00,"18,2","2,7","0,72"
2024-02-11 01:00,"24,8","5,1","0,53"
2024-02-11 02:00,"33,8","5,2","0,44"
2024-02-11 03:00,"31,2","5,4","0,62"
2024-02-11 04:00,"37,2","11,1","0,59"
2024-02-11 05:00,"33,6","11,5","0,49"
2024-02-11 06:00,"35,6","10,1","0,68"
2024-02-11 07:00,"41,8","13,1","0,78"
2024-02-11 08:00,58,"13,9","1,31"
2024-02-11 09:00,"58,8","13,5","0,9"
2024-02-11 10:00,"60,2","19,3","0,59"
2024-02-11 11:00,"56,8","28,1","0,52"
2024-02-11 12:00,"45,4",21,"0,48"
2024-02-11 13:00,"50,6","15,8","0,43"
2024-02-11 14:00,"37,6","11,2","0,44"
2024-02-11 15:00,"39,4","8,6","0,47"
2024-02-11 16:00,"34,4","7,7","0,44"
2024-02-11 17:00,"36,5","6,5","0,42"
2024-02-11 18:00,"36,8","9,6","0,41"
2024-02-11 19:00,"33,7","7,2","0,49"
2024-02-11 20:00,"38,2","8,8","0,47"
2024-02-11 21:00,"33,5","14,8","0,92"
2024-02-11 22:00,32,11,"0,98"
2024-02-11 23:00,"40,3","13,5","0,82"
2024-02-11 24:00,36,"11,2","0,53"
2024-02-12 01:00,35,"13,1","0,34"
2024-02-12 02:00,"32,6","9,9","0,35"
2024-02-12 03:00,"36,8","7,1","0,52"
2024-02-12 04:00,"37,3","6,1","0,58"
2024-02-12 05:00,"44,3","11,4","0,7"
2024-02-12 06:00,"51,6","20,4","2,05"
2024-02-12 07:00,"69,2",19,"2,08"
2024-02-12 08:00,"91,3","26,3","1,89"
2024-02-12 09:00,"85,8","30,5","1,21"
2024-02-12 10:00,"83,3","28,5","0,61"
2024-02-12 11:00,"74,6","30,7","0,65"
2024-02-12 12:00,"79,7","32,9","0,56"
2024-02-12 13:00,"72,5","29,1","0,51"
2024-02-12 14:00,"78,4",34,"0,46"
2024-02-12 15:00,"81,7",25,"0,44"
2024-02-12 16:00,80,"23,8","0,42"
2024-02-12 17:00,86,"23,2","0,48"
2024-02-12 18:00,"78,8","23,7","0,52"
2024-02-12 19:00,74,24,"0,66"
2024-02-12 20:00,"76,3","29,6","1,02"
2024-02-12 21:00,"84,6","33,7","0,83"
