Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"9,6",4,"0,16"
2024-02-10 02:00,"20,7",11,"0,25"
2024-02-10 03:00,16,7,"0,24"
2024-02-10 04:00,"12,3",9,"0,29"
2024-02-10 05:00,"16,4",12,"0,35"
2024-02-10 06:00,"14,1",12,"0,59"
2024-02-10 07:00,"16,1",10,"1,53"
2024-02-10 08:00,"32,5",32,"1,68"
2024-02-10 09:00,"49,3",25,"1,16"
2024-02-10 10:00,"44,3",23,"0,48"
2024-02-10 11:00,"32,6",6,"0,16"
2024-02-10 12:00,"25,6",5,"0,18"
2024-02-10 13:00,19,5,"0,32"
2024-02-10 14:00,"19,7",6,"0,22"
2024-02-10 15:00,"19,2",6,"0,22"
2024-02-10 16:00,"14,8",4,"0,16"
2024-02-10 17:00,"11,9",3,"0,22"
2024-02-10 18:00,"9,7",2,"0,25"
2024-02-10 19:00,"9,5",,"0,37"
2024-02-10 20:00,"7,2",,"0,34"
2024-02-10 21:00,"13,5",,"0,4"
2024-02-10 22:00,"10,7",,"0,47"
2024-02-10 23:00,"8,1",,"0,43"
2024-02-10 24:00,"6,3",,"0,46"
2024-02-10 01:00,"9,6",4,"0,16"
2024-02-10 02:00,"20,7",11,"0,25"
2024-02-10 03:00,16,7,"0,24"
2024-02-10 04:00,"12,3",9,"0,29"
2024-02-10 05:00,"16,4",12,"0,35"
2024-02-10 06:00,"14,1",12,"0,59"
2024-02-10 07:00,"16,1",10,"1,53"
2024-02-10 08:00,"32,5",32,"1,68"
2024-02-10 09:00,"49,3",25,"1,16"
2024-02-10 10:00,"44,3",23,"0,48"
2024-02-10 11:00,"32,6",6,"0,16"
2024-02-10 12:00,"25,6",5,"0,18"
2024-02-10 13:00,19,5,"0,32"
2024-02-10 14:00,"19,7",6,"0,22"
2024-02-10 15:00,"19,2",6,"0,22"
2024-02-10 16:00,"14,8",4,"0,16"
2024-02-10 17:00,"11,9",3,"0,22"
2024-02-10 18:00,"9,7",2,"0,25"
2024-02-10 19:00,"9,5",,"0,37"
2024-02-10 20:00,"7,2",,"0,34"
2024-02-10 21:00,"13,5",,"0,4"
2024-02-10 22:00,"10,7",,"0,47"
2024-02-10 23:00,"8,1",,"0,43"
2024-02-10 24:00,"6,3",,"0,46"
2024-02-11 01:00,12,,"0,58"
2024-02-11 02:00,"20,4",,"0,52"
2024-02-11 03:00,"15,9",,"0,37"
2024-02-11 04:00,19,,"0,46"
2024-02-11 05:00,"14,5",,"0,55"
2024-02-11 06:00,"16,2",,"0,43"
2024-02-11 07:00,"15,7",,"0,63"
2024-02-11 08:00,"21,7",,"0,65"
2024-02-11 09:00,"27,5",,"0,32"
2024-02-11 10:00,27,,"0,23"
2024-02-11 11:00,20,,"0,18"
2024-02-11 12:00,"14,7",,"0,13"
2024-02-11 13:00,"10,6",,"0,18"
2024-02-11 14:00,"12,2",,"0,16"
2024-02-11 15:00,"11,4",,"0,18"
2024-02-11 16:00,"8,6",,"0,16"
2024-02-11 17:00,"10,1",,"0,15"
2024-02-11 18:00,"16,8",,"0,27"
2024-02-11 19:00,"16,1",,"0,5"
2024-02-11 20:00,"16,1",,"0,53"
2024-02-11 21:00,"22,6",,"0,55"
2024-02-11 22:00,"23,4",,"0,44"
2024-02-11 23:00,17,,"0,44"
2024-02-11 24:00,"25,2",,"0,27"
2024-02-12 01:00,"18,3",,"0,35"
2024-02-12 02:00,"19,7",,"0,35"
2024-02-12 03:00,"21,3",,"0,29"
2024-02-12 04:00,"19,7",,"0,28"
2024-02-12 05:00,"26,4",,"0,35"
2024-02-12 06:00,"22,1",,"0,59"
2024-02-12 07:00,"29,5",,"0,93"
2024-02-12 08:00,"27,1",,"1,07"
2024-02-12 09:00,"32,7",,"0,7"
2024-02-12 10:00,"32,1",,"0,36"
2024-02-12 11:00,"31,9",,"0,42"
2024-02-12 12:00,"34,6",,"0,41"
2024-02-12 13:00,30,,"0,38"
