Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,15,8,"0,44"
2024-02-10 02:00,21,11,"0,56"
2024-02-10 03:00,23,10,"0,5"
2024-02-10 04:00,14,8,"0,46"
2024-02-10 05:00,12,10,"0,42"
2024-02-10 06:00,38,12,"0,68"
2024-02-10 07:00,56,19,"1,13"
2024-02-10 08:00,48,22,"1,36"
2024-02-10 09:00,62,25,"1,56"
2024-02-10 10:00,24,13,"0,69"
2024-02-10 11:00,13,7,"0,37"
2024-02-10 12:00,16,7,"0,43"
2024-02-10 13:00,10,9,"0,4"
2024-02-10 14:00,10,6,"0,35"
2024-02-10 15:00,16,3,"0,41"
2024-02-10 16:00,11,5,"0,33"
2024-02-10 17:00,12,5,"0,35"
2024-02-10 18:00,10,7,"0,38"
2024-02-10 19:00,19,6,"0,33"
2024-02-10 20:00,7,6,"0,4"
2024-02-10 21:00,23,16,"0,61"
2024-02-10 22:00,15,13,"0,51"
2024-02-10 23:00,18,9,"0,45"
2024-02-10 24:00,20,6,"0,41"
2024-02-10 01:00,15,8,"0,44"
2024-02-10 02:00,21,11,"0,56"
2024-02-10 03:00,23,10,"0,5"
2024-02-10 04:00,14,8,"0,46"
2024-02-10 05:00,12,10,"0,42"
2024-02-10 06:00,38,12,"0,68"
2024-02-10 07:00,56,19,"1,13"
2024-02-10 08:00,48,22,"1,36"
2024-02-10 09:00,62,25,"1,56"
2024-02-10 10:00,24,13,"0,69"
2024-02-10 11:00,13,7,"0,37"
2024-02-10 12:00,16,7,"0,43"
2024-02-10 13:00,10,9,"0,4"
2024-02-10 14:00,10,6,"0,35"
2024-02-10 15:00,16,3,"0,41"
2024-02-10 16:00,11,5,"0,33"
2024-02-10 17:00,12,5,"0,35"
2024-02-10 18:00,10,7,"0,38"
2024-02-10 19:00,19,6,"0,33"
2024-02-10 20:00,7,6,"0,4"
2024-02-10 21:00,23,16,"0,61"
2024-02-10 22:00,15,13,"0,51"
2024-02-10 23:00,18,9,"0,45"
2024-02-10 24:00,20,6,"0,41"
2024-02-11 01:00,8,8,"0,33"
2024-02-11 02:00,10,5,"0,35"
2024-02-11 03:00,14,2,"0,3"
2024-02-11 04:00,10,5,"0,31"
