Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"31,6","11,3",
2024-02-10 02:00,"29,5","9,5",
2024-02-10 03:00,"16,8","16,7",
2024-02-10 04:00,"26,6","9,5",
2024-02-10 05:00,"27,4","8,6",
2024-02-10 06:00,"30,8","7,4",
2024-02-10 07:00,"41,4","6,8",
2024-02-10 08:00,"49,5","29,9",
2024-02-10 09:00,"40,8","28,1",
2024-02-10 10:00,"40,4","14,6",
2024-02-10 11:00,29,"8,7",
2024-02-10 12:00,"16,6","4,8",
2024-02-10 13:00,"10,7","10,6",
2024-02-10 14:00,,"14,3",
2024-02-10 15:00,"8,8","7,3",
2024-02-10 16:00,5,"4,7",
2024-02-10 17:00,"8,3","8,3",
2024-02-10 18:00,"14,1",5,
2024-02-10 19:00,"14,7","2,7",
2024-02-10 20:00,"35,3",4,
2024-02-10 21:00,"27,9","10,8",
2024-02-10 22:00,"22,1",7,
2024-02-10 23:00,26,"7,3",
2024-02-10 24:00,"38,6","5,2",
2024-02-10 01:00,"31,6","11,3",
2024-02-10 02:00,"29,5","9,5",
2024-02-10 03:00,"16,8","16,7",
2024-02-10 04:00,"26,6","9,5",
2024-02-10 05:00,"27,4","8,6",
2024-02-10 06:00,"30,8","7,4",
2024-02-10 07:00,"41,4","6,8",
2024-02-10 08:00,"49,5","29,9",
2024-02-10 09:00,"40,8","28,1",
2024-02-10 10:00,"40,4","14,6",
2024-02-10 11:00,29,"8,7",
2024-02-10 12:00,"16,6","4,8",
2024-02-10 13:00,"10,7","10,6",
2024-02-10 14:00,,"14,3",
2024-02-10 15:00,"8,8","7,3",
2024-02-10 16:00,5,"4,7",
2024-02-10 17:00,"8,3","8,3",
2024-02-10 18:00,"14,1",5,
2024-02-10 19:00,"14,7","2,7",
2024-02-10 20:00,"35,3",4,
2024-02-10 21:00,"27,9","10,8",
2024-02-10 22:00,"22,1",7,
2024-02-10 23:00,26,"7,3",
2024-02-10 24:00,"38,6","5,2",
2024-02-11 01:00,"34,6","16,7",
2024-02-11 02:00,"19,9","13,5",
2024-02-11 03:00,"22,8",13,
2024-02-11 04:00,"19,1","7,1",
2024-02-11 05:00,"30,3","4,4",
2024-02-11 06:00,"16,1","4,4",
2024-02-11 07:00,"16,7","11,8",
2024-02-11 08:00,"23,3","14,1",
2024-02-11 09:00,"21,3","21,2",
2024-02-11 10:00,"37,4","12,2",
2024-02-11 11:00,"19,3","7,4",
2024-02-11 12:00,"11,5","4,3",
2024-02-11 13:00,,"12,5",
2024-02-11 14:00,,7,
2024-02-11 15:00,,7,
2024-02-11 16:00,,4,
2024-02-11 17:00,"3,5","3,5",
2024-02-11 18:00,"6,7","2,7",
2024-02-11 19:00,"12,2","2,1",
2024-02-11 20:00,"48,2","12,4",
2024-02-11 21:00,25,"18,5",
2024-02-11 22:00,"28,7","9,1",
2024-02-11 23:00,"15,5","8,8",
2024-02-11 24:00,"26,6","15,5",
2024-02-12 01:00,"30,8","8,9",
2024-02-12 02:00,"37,5","18,8",
2024-02-12 03:00,50,"10,1",
2024-02-12 04:00,"27,2","10,5",
2024-02-12 05:00,"26,3","16,7",
2024-02-12 06:00,"22,9",11,
2024-02-12 07:00,"37,2","12,6",
2024-02-12 08:00,"58,8","26,3",
2024-02-12 09:00,"68,2","24,3",
2024-02-12 10:00,"77,7","37,5",
2024-02-12 11:00,58,"19,2",
2024-02-12 12:00,"39,8","17,4",
2024-02-12 13:00,"30,3","27,8",
2024-02-12 14:00,"27,3","14,3",
2024-02-12 15:00,"55,5","10,5",
2024-02-12 16:00,"80,9","13,5",
2024-02-12 17:00,84,"28,5",
2024-02-12 18:00,"70,9","41,7",
2024-02-12 19:00,"80,6","28,1",
2024-02-12 20:00,"75,5","40,1",
2024-02-12 21:00,"85,8","37,2",
2024-02-12 22:00,"77,8","39,4",
2024-02-12 23:00,"67,1","33,6",
2024-02-12 24:00,"46,5","31,4",
2024-02-13 01:00,"68,6",25,
2024-02-13 02:00,48,14,
2024-02-13 03:00,"34,1","20,6",
2024-02-13 04:00,"44,1","21,1",
2024-02-13 05:00,"48,2","18,6",
2024-02-13 06:00,"40,4","16,2",
2024-02-13 07:00,"34,7",19,
2024-02-13 08:00,"64,3","33,6",
2024-02-13 09:00,"103,3","48,2",
2024-02-13 10:00,"74,6","25,7",
2024-02-13 11:00,"34,9","12,8",
2024-02-13 12:00,"17,4","7,3",
2024-02-13 13:00,,"17,6",
2024-02-13 14:00,"9,8","9,8",
2024-02-13 15:00,"25,4",6,
2024-02-13 16:00,"23,7","20,3",
2024-02-13 17:00,43,"15,6",
2024-02-13 18:00,"66,5","9,8",
2024-02-13 19:00,"54,6","27,4",
2024-02-13 20:00,"48,8","21,6",
2024-02-13 21:00,"43,4","15,8",
2024-02-13 22:00,"66,8","24,3",
2024-02-13 23:00,"65,3","21,9",
2024-02-13 24:00,"49,5","25,7",
2024-02-14 01:00,"55,3","22,8",
2024-02-14 02:00,"37,4","12,6",
2024-02-14 03:00,"29,9","16,1",
2024-02-14 04:00,"17,3","12,9",
2024-02-14 05:00,"22,4","8,1",
2024-02-14 06:00,"27,2","15,7",
2024-02-14 07:00,"35,3","9,3",
2024-02-14 08:00,"36,6","14,3",
2024-02-14 09:00,36,"8,8",
2024-02-14 10:00,"30,1","5,8",
2024-02-14 11:00,18,"3,3",
2024-02-14 12:00,"42,8","3,8",
2024-02-14 13:00,,,
2024-02-14 14:00,,,
2024-02-14 15:00,"82,6","9,5",
2024-02-14 16:00,"61,7","11,2",
2024-02-14 17:00,57,"18,8",
2024-02-14 18:00,"49,7","19,6",
2024-02-14 19:00,"34,7","24,9",
2024-02-14 20:00,"47,9","14,4",
2024-02-14 21:00,"49,7","16,4",
2024-02-14 22:00,"41,8","19,5",
2024-02-14 23:00,42,"36,3",
2024-02-14 24:00,"43,8","19,8",
2024-02-15 01:00,"23,6","13,4",
2024-02-15 02:00,"40,1","10,9",
2024-02-15 03:00,"32,9","15,1",
2024-02-15 04:00,"30,3",20,
2024-02-15 05:00,"26,3","16,6",
