Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"22,5","14,9","0,65"
2024-02-10 02:00,36,"10,1","0,42"
2024-02-10 03:00,"20,1","14,7","0,27"
2024-02-10 04:00,"18,9","11,9","0,4"
2024-02-10 05:00,"25,5",8,"0,8"
2024-02-10 06:00,"40,8","26,9","1,09"
2024-02-10 07:00,"91,4","47,1","1,25"
2024-02-10 08:00,"93,7","24,4","1,13"
2024-02-10 09:00,"97,5","39,4","0,86"
2024-02-10 10:00,"69,1","22,8","0,72"
2024-02-10 11:00,"61,7","37,4","0,62"
2024-02-10 12:00,"77,7","19,9","0,52"
2024-02-10 13:00,"71,1","12,6","0,47"
2024-02-10 14:00,"64,3","11,2","0,37"
2024-02-10 15:00,"57,9","7,7","0,49"
2024-02-10 16:00,"49,6","11,1","0,38"
2024-02-10 17:00,"34,5","22,2","0,34"
2024-02-10 18:00,"37,8","11,5","0,36"
2024-02-10 19:00,"32,8","5,7","0,42"
2024-02-10 20:00,"16,7","2,8","0,44"
2024-02-10 21:00,"18,9","5,2","0,5"
2024-02-10 22:00,"26,4",4,"0,59"
2024-02-10 23:00,"21,9","10,3","0,62"
2024-02-10 24:00,"22,5","13,8","0,57"
2024-02-10 01:00,"22,5","14,9","0,65"
2024-02-10 02:00,36,"10,1","0,42"
2024-02-10 03:00,"20,1","14,7","0,27"
2024-02-10 04:00,"18,9","11,9","0,4"
2024-02-10 05:00,"25,5",8,"0,8"
2024-02-10 06:00,"40,8","26,9","1,09"
2024-02-10 07:00,"91,4","47,1","1,25"
2024-02-10 08:00,"93,7","24,4","1,13"
2024-02-10 09:00,"97,5","39,4","0,86"
2024-02-10 10:00,"69,1","22,8","0,72"
2024-02-10 11:00,"61,7","37,4","0,62"
2024-02-10 12:00,"77,7","19,9","0,52"
2024-02-10 13:00,"71,1","12,6","0,47"
2024-02-10 14:00,"64,3","11,2","0,37"
2024-02-10 15:00,"57,9","7,7","0,49"
2024-02-10 16:00,"49,6","11,1","0,38"
2024-02-10 17:00,"34,5","22,2","0,34"
2024-02-10 18:00,"37,8","11,5","0,36"
2024-02-10 19:00,"32,8","5,7","0,42"
2024-02-10 20:00,"16,7","2,8","0,44"
2024-02-10 21:00,"18,9","5,2","0,5"
2024-02-10 22:00,"26,4",4,"0,59"
2024-02-10 23:00,"21,9","10,3","0,62"
2024-02-10 24:00,"22,5","13,8","0,57"
2024-02-11 01:00,"36,6","12,6","0,47"
2024-02-11 02:00,"38,1","10,6","0,39"
2024-02-11 03:00,"32,5","20,9","0,36"
2024-02-11 04:00,"22,5","12,5","0,35"
2024-02-11 05:00,"20,3","7,8","0,35"
2024-02-11 06:00,"33,3","15,7","0,43"
2024-02-11 07:00,"40,3",33,"0,52"
2024-02-11 08:00,"36,3","18,1","0,92"
2024-02-11 09:00,"56,9","22,6","0,72"
2024-02-11 10:00,50,"13,8","0,5"
2024-02-11 11:00,"52,1","15,9","0,38"
2024-02-11 12:00,"46,4","15,5","0,31"
2024-02-11 13:00,"37,1","24,8","0,32"
2024-02-11 14:00,"47,1","15,3","0,26"
2024-02-11 15:00,"76,2","8,6","0,37"
2024-02-11 16:00,"61,5","25,5","0,34"
2024-02-11 17:00,"39,5","20,4","0,35"
2024-02-11 18:00,"38,3",20,"0,39"
2024-02-11 19:00,"38,1","18,7","0,43"
2024-02-11 20:00,"22,4","22,3","0,46"
2024-02-11 21:00,"34,4","18,3","0,61"
2024-02-11 22:00,"20,7",20,"0,88"
2024-02-11 23:00,"37,2","10,8","1,28"
2024-02-11 24:00,"48,2","13,4","0,65"
2024-02-12 01:00,"54,4","17,2","0,3"
2024-02-12 02:00,"36,4","17,6","0,23"
2024-02-12 03:00,"29,6","17,4","0,19"
2024-02-12 04:00,"30,8","14,7","0,15"
2024-02-12 05:00,"42,2","18,9","0,27"
2024-02-12 06:00,"32,9",15,"0,55"
2024-02-12 07:00,"48,7","28,7","1,2"
2024-02-12 08:00,"68,3","27,7","0,55"
2024-02-12 09:00,"44,4","32,2",
2024-02-12 10:00,"56,1","46,5",
2024-02-12 11:00,,,
2024-02-12 12:00,"98,4","44,6",
2024-02-12 13:00,"102,6","40,2","0,42"
2024-02-12 14:00,"109,1","43,4","0,51"
2024-02-12 15:00,"106,9","55,5","0,53"
2024-02-12 16:00,"102,7","56,3","0,67"
2024-02-12 17:00,"84,6","33,3","0,72"
2024-02-12 18:00,82,"30,8","0,75"
2024-02-12 19:00,"81,3","58,6","0,77"
2024-02-12 20:00,"82,5","44,1","0,66"
2024-02-12 21:00,"64,6","47,8","0,7"
2024-02-12 22:00,"52,8","43,3","0,6"
2024-02-12 23:00,"76,4","41,7","0,29"
2024-02-12 24:00,,,
2024-02-13 01:00,"55,2","23,7","0,33"
2024-02-13 02:00,"60,3","21,2","0,32"
2024-02-13 03:00,56,"33,2","0,61"
2024-02-13 04:00,"75,4","39,4","0,47"
2024-02-13 05:00,"67,9","42,9","0,68"
2024-02-13 06:00,"67,9","44,3","1,67"
2024-02-13 07:00,"81,6","33,1","2,31"
2024-02-13 08:00,"149,3","47,9","1,45"
2024-02-13 09:00,"118,4","49,1","0,95"
2024-02-13 10:00,"88,5","29,5","1,02"
2024-02-13 11:00,"52,5","16,3","0,84"
2024-02-13 12:00,"48,1","11,3","0,52"
2024-02-13 13:00,"59,5","28,8","0,53"
2024-02-13 14:00,"52,7","16,2","0,57"
2024-02-13 15:00,"62,7","35,2","0,59"
2024-02-13 16:00,"128,2","63,4","0,36"
2024-02-13 17:00,"132,6","40,4","0,5"
2024-02-13 18:00,"103,4","49,8","0,72"
2024-02-13 19:00,"104,4","32,4","0,7"
2024-02-13 20:00,"94,1","50,7","0,62"
2024-02-13 21:00,"80,9","44,4","0,64"
2024-02-13 22:00,"67,3","22,4","0,73"
2024-02-13 23:00,"52,5","16,3","0,89"
2024-02-13 24:00,"61,3",14,"0,48"
2024-02-14 01:00,"69,2","13,2","0,2"
2024-02-14 02:00,"55,5","24,9","0,16"
2024-02-14 03:00,35,"27,7","0,28"
2024-02-14 04:00,"29,6","19,2","0,27"
2024-02-14 05:00,"51,9","23,6","0,45"
2024-02-14 06:00,"48,9","20,7","0,88"
2024-02-14 07:00,"59,3",32,"2,14"
2024-02-14 08:00,101,"40,8","1,01"
2024-02-14 09:00,"85,6","22,5","0,55"
2024-02-14 10:00,"60,1","11,7","0,41"
2024-02-14 11:00,"82,6",8,"0,35"
2024-02-14 12:00,77,"6,7","0,32"
2024-02-14 13:00,"70,3",20,"0,31"
2024-02-14 14:00,"59,9","22,5","0,37"
2024-02-14 15:00,"62,3","22,8","0,42"
2024-02-14 16:00,55,"12,5","0,34"
2024-02-14 17:00,"49,2","29,3","0,34"
2024-02-14 18:00,"57,6","17,2","0,48"
2024-02-14 19:00,50,"18,6","0,51"
2024-02-14 20:00,"29,7","25,8","0,54"
2024-02-14 21:00,"37,5","13,4","0,51"
2024-02-14 22:00,"20,3",7,"0,45"
2024-02-14 23:00,"29,3","15,5","0,92"
2024-02-14 24:00,"57,4","33,6","0,6"
2024-02-15 01:00,"50,2","19,2","0,61"
2024-02-15 02:00,"51,2","11,3","0,53"
2024-02-15 03:00,65,"28,8","0,38"
2024-02-15 04:00,"61,3","21,9","0,2"
2024-02-15 05:00,"49,6","16,8","0,4"
2024-02-15 06:00,"75,3","27,2","0,47"
2024-02-15 07:00,"50,6","14,9","1,11"
2024-02-15 08:00,"38,7","27,7","0,65"
2024-02-15 09:00,"50,2","16,7","0,53"
2024-02-15 10:00,"44,9",,
2024-02-15 11:00,"37,8",,
2024-02-15 12:00,"79,6",,
2024-02-15 13:00,"107,7",,
2024-02-15 14:00,115,,
2024-02-15 15:00,"88,1",,
2024-02-15 16:00,"79,8",,
2024-02-15 17:00,"59,7",,
2024-02-15 18:00,"62,3",,
2024-02-15 19:00,46,,
2024-02-15 20:00,"27,9",,
2024-02-15 21:00,35,,
2024-02-15 22:00,"31,3",,
2024-02-15 23:00,"19,6",,
2024-02-15 24:00,38,,
2024-02-16 01:00,"55,3",,
2024-02-16 02:00,"57,1",,
2024-02-16 03:00,"46,6",,
2024-02-16 04:00,"54,8",,
2024-02-16 05:00,"49,3",,
2024-02-16 06:00,"42,1",,
2024-02-16 07:00,"43,1",,
2024-02-16 08:00,"81,8",,
2024-02-16 09:00,"86,4",,
2024-02-16 10:00,"73,9","20,2","0,4"
2024-02-16 11:00,"89,3","13,1","0,54"
2024-02-16 12:00,84,"33,2","0,67"
2024-02-16 13:00,"105,2","56,6","0,43"
2024-02-16 14:00,"117,6","30,9","0,43"
2024-02-16 15:00,"112,4","18,5","0,49"
2024-02-16 16:00,"91,6","30,5","0,35"
2024-02-16 17:00,"114,3","16,7","0,54"
2024-02-16 18:00,"94,9","28,9","0,72"
2024-02-16 19:00,"102,6","14,4","0,85"
2024-02-16 20:00,"73,3",23,"0,81"
2024-02-16 21:00,"72,2","28,6","0,64"
2024-02-16 22:00,"68,1","17,1","0,41"
2024-02-16 23:00,"42,6","10,4","0,36"
2024-02-16 24:00,"36,5","6,8","0,2"
2024-02-17 01:00,"19,3","4,8","0,3"
2024-02-17 02:00,"12,3","4,1","0,29"
2024-02-17 03:00,"9,7","4,3","0,34"
2024-02-17 04:00,,"26,3","0,29"
2024-02-17 05:00,"14,1",14,"0,27"
2024-02-17 06:00,"10,5","10,4","0,42"
2024-02-17 07:00,"28,7",8,"0,55"
2024-02-17 08:00,"24,9","4,5","0,84"
2024-02-17 09:00,"17,3","12,2","0,85"
2024-02-17 10:00,"46,4",15,"0,87"
2024-02-17 11:00,"42,1","11,1","0,81"
2024-02-17 12:00,"49,5",6,"0,7"
2024-02-17 13:00,"70,9","16,7","0,64"
2024-02-17 14:00,"83,4","13,4","0,65"
2024-02-17 15:00,"69,5",19,"0,55"
2024-02-17 16:00,"79,5","20,9","0,59"
2024-02-17 17:00,"57,4","11,5","0,55"
2024-02-17 18:00,"43,4","7,3","0,54"
2024-02-17 19:00,"37,1","3,8","0,63"
2024-02-17 20:00,"37,5","21,1","0,7"
2024-02-17 21:00,42,"11,2","0,8"
2024-02-17 22:00,"30,9","10,7","1,03"
2024-02-17 23:00,47,"22,7","0,71"
2024-02-17 24:00,"44,5","13,7","0,74"
2024-02-18 01:00,45,"18,4","0,57"
2024-02-18 02:00,"45,7","20,8","0,53"
2024-02-18 03:00,"44,9","10,7","0,58"
2024-02-18 04:00,45,"35,2","0,86"
2024-02-18 05:00,"56,5","26,6","0,72"
2024-02-18 06:00,49,16,"0,77"
2024-02-18 07:00,,"38,9","1,08"
2024-02-18 08:00,"85,8","40,7","0,84"
2024-02-18 09:00,"74,8","20,9","0,71"
2024-02-18 10:00,"61,3","19,4","0,61"
2024-02-18 11:00,"41,8","12,8","0,44"
2024-02-18 12:00,"23,2","8,1","0,4"
2024-02-18 13:00,"38,3","9,7","0,39"
2024-02-18 14:00,"19,9","6,8","0,32"
2024-02-18 15:00,"15,9","11,2","0,42"
2024-02-18 16:00,"58,2","12,9","0,36"
2024-02-18 17:00,"67,8","27,7","0,41"
2024-02-18 18:00,"57,4","20,3","0,54"
2024-02-18 19:00,"39,9","12,9","0,58"
2024-02-18 20:00,"51,4","13,2","0,61"
2024-02-18 21:00,"30,4","30,3","0,68"
2024-02-18 22:00,"40,6","20,5","0,58"
2024-02-18 23:00,"34,1",34,"0,65"
2024-02-18 24:00,"51,8","17,5","0,55"
2024-02-19 01:00,"51,9","12,7","0,42"
2024-02-19 02:00,49,"11,2","0,55"
2024-02-19 03:00,"29,3","21,6","0,57"
2024-02-19 04:00,"53,2","24,9","0,6"
2024-02-19 05:00,67,"20,4","0,64"
2024-02-19 06:00,"60,3","31,2","1,06"
