Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"5,3","5,2","0,33"
2024-02-10 02:00,"17,4","4,9","0,28"
2024-02-10 03:00,"21,8","4,8","0,27"
2024-02-10 04:00,"14,9","4,9","0,37"
2024-02-10 05:00,"15,3","5,9","0,61"
2024-02-10 06:00,"23,3","5,7","0,96"
2024-02-10 07:00,"35,9","8,1","1,23"
2024-02-10 08:00,"63,7","14,5","1,46"
2024-02-10 09:00,"86,6","18,6","1,28"
2024-02-10 10:00,92,"21,3","1,15"
2024-02-10 11:00,"66,5","15,7","0,58"
2024-02-10 12:00,"40,7","11,4","0,41"
2024-02-10 13:00,"37,2","9,7","0,37"
2024-02-10 14:00,"29,5","6,9","0,39"
2024-02-10 15:00,"28,2","5,5","0,42"
2024-02-10 16:00,"18,5","5,4","0,4"
2024-02-10 17:00,"13,5","4,3","0,47"
2024-02-10 18:00,"16,4","3,8","0,51"
2024-02-10 19:00,"18,2","3,2","0,6"
2024-02-10 20:00,"25,1","2,5","0,53"
2024-02-10 21:00,14,"1,9","0,33"
2024-02-10 22:00,"8,1","1,6","0,24"
2024-02-10 23:00,"4,8","1,4","0,28"
2024-02-10 24:00,3,"1,8","0,34"
2024-02-10 01:00,"5,3","5,2","0,33"
2024-02-10 02:00,"17,4","4,9","0,28"
2024-02-10 03:00,"21,8","4,8","0,27"
2024-02-10 04:00,"14,9","4,9","0,37"
2024-02-10 05:00,"15,3","5,9","0,61"
2024-02-10 06:00,"23,3","5,7","0,96"
2024-02-10 07:00,"35,9","8,1","1,23"
2024-02-10 08:00,"63,7","14,5","1,46"
2024-02-10 09:00,"86,6","18,6","1,28"
2024-02-10 10:00,92,"21,3","1,15"
2024-02-10 11:00,"66,5","15,7","0,58"
2024-02-10 12:00,"40,7","11,4","0,41"
2024-02-10 13:00,"37,2","9,7","0,37"
2024-02-10 14:00,"29,5","6,9","0,39"
2024-02-10 15:00,"28,2","5,5","0,42"
2024-02-10 16:00,"18,5","5,4","0,4"
2024-02-10 17:00,"13,5","4,3","0,47"
2024-02-10 18:00,"16,4","3,8","0,51"
2024-02-10 19:00,"18,2","3,2","0,6"
2024-02-10 20:00,"25,1","2,5","0,53"
2024-02-10 21:00,14,"1,9","0,33"
2024-02-10 22:00,"8,1","1,6","0,24"
2024-02-10 23:00,"4,8","1,4","0,28"
2024-02-10 24:00,3,"1,8","0,34"
2024-02-11 01:00,"1,9","1,9","0,52"
2024-02-11 02:00,2,"1,9","0,72"
2024-02-11 03:00,"3,2","3,1","0,44"
2024-02-11 04:00,"9,1","4,9","0,59"
2024-02-11 05:00,"7,2","4,7","0,67"
2024-02-11 06:00,"9,1","4,4","0,75"
2024-02-11 07:00,16,"7,3","0,89"
2024-02-11 08:00,"31,1","7,8","1,22"
2024-02-11 09:00,"50,6","21,1","1,09"
2024-02-11 10:00,"70,2","20,3","0,62"
2024-02-11 11:00,"52,8","15,2","0,27"
2024-02-11 12:00,"43,2","11,1","0,21"
2024-02-11 13:00,"35,5","8,4","0,18"
2024-02-11 14:00,"27,6","9,1","0,16"
2024-02-11 15:00,"22,8","7,2","0,17"
2024-02-11 16:00,"23,6","5,7","0,16"
2024-02-11 17:00,"22,9","6,3","0,17"
2024-02-11 18:00,"17,7","5,4","0,44"
2024-02-11 19:00,"21,9","4,2","0,5"
2024-02-11 20:00,24,"3,3","0,52"
2024-02-11 21:00,"17,7","2,7","0,54"
2024-02-11 22:00,"12,4","2,2","0,66"
2024-02-11 23:00,"8,6","1,9","0,44"
2024-02-11 24:00,6,"1,7","0,3"
2024-02-12 01:00,"4,2","2,1","0,16"
2024-02-12 02:00,"3,7","3,2","0,23"
2024-02-12 03:00,7,"3,1","0,44"
2024-02-12 04:00,6,"3,8","0,49"
2024-02-12 05:00,"8,1",7,"0,64"
2024-02-12 06:00,"21,6","9,5","1,02"
2024-02-12 07:00,"27,2","11,3","2,36"
2024-02-12 08:00,"48,3","18,3","1,56"
2024-02-12 09:00,"84,3","19,2","1,72"
2024-02-12 10:00,"83,7","27,7","0,99"
2024-02-12 11:00,"73,2","20,7","0,67"
2024-02-12 12:00,"66,1","22,2","0,41"
2024-02-12 13:00,"69,8",16,"0,49"
2024-02-12 14:00,72,"14,5","0,52"
2024-02-12 15:00,"71,6","18,8","0,45"
2024-02-12 16:00,"63,5",20,"0,4"
2024-02-12 17:00,"57,3","20,3","0,45"
