Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,6,6,"0,23"
2024-02-10 02:00,8,8,"0,24"
2024-02-10 03:00,6,6,"0,27"
2024-02-10 04:00,25,3,"0,46"
2024-02-10 05:00,17,6,"0,49"
2024-02-10 06:00,31,12,"0,55"
2024-02-10 07:00,63,13,"1,11"
2024-02-10 08:00,70,20,"1,45"
2024-02-10 09:00,30,30,"0,75"
2024-02-10 10:00,11,11,"0,31"
2024-02-10 11:00,10,9,"0,29"
2024-02-10 12:00,17,7,"0,29"
2024-02-10 13:00,13,5,"0,27"
2024-02-10 14:00,11,5,"0,34"
2024-02-10 15:00,11,4,"0,34"
2024-02-10 16:00,17,3,"0,42"
2024-02-10 17:00,17,5,"0,38"
2024-02-10 18:00,15,4,"0,37"
2024-02-10 19:00,20,7,"0,44"
2024-02-10 20:00,15,9,"0,54"
2024-02-10 21:00,12,7,"0,41"
2024-02-10 22:00,16,7,"0,39"
2024-02-10 23:00,15,6,"0,32"
2024-02-10 24:00,15,3,"0,28"
2024-02-10 01:00,6,6,"0,23"
2024-02-10 02:00,8,8,"0,24"
2024-02-10 03:00,6,6,"0,27"
2024-02-10 04:00,25,3,"0,46"
2024-02-10 05:00,17,6,"0,49"
2024-02-10 06:00,31,12,"0,55"
2024-02-10 07:00,63,13,"1,11"
2024-02-10 08:00,70,20,"1,45"
2024-02-10 09:00,30,30,"0,75"
2024-02-10 10:00,11,11,"0,31"
2024-02-10 11:00,10,9,"0,29"
2024-02-10 12:00,17,7,"0,29"
2024-02-10 13:00,13,5,"0,27"
2024-02-10 14:00,11,5,"0,34"
2024-02-10 15:00,11,4,"0,34"
2024-02-10 16:00,17,3,"0,42"
2024-02-10 17:00,17,5,"0,38"
2024-02-10 18:00,15,4,"0,37"
2024-02-10 19:00,20,7,"0,44"
2024-02-10 20:00,15,9,"0,54"
2024-02-10 21:00,12,7,"0,41"
2024-02-10 22:00,16,7,"0,39"
2024-02-10 23:00,15,6,"0,32"
2024-02-10 24:00,15,3,"0,28"
2024-02-11 01:00,12,7,"0,26"
2024-02-11 02:00,16,5,"0,24"
2024-02-11 03:00,13,5,"0,17"
2024-02-11 04:00,12,7,"0,17"
2024-02-11 05:00,12,8,"0,18"
2024-02-11 06:00,17,4,"0,21"
2024-02-11 07:00,23,4,"0,37"
2024-02-11 08:00,34,9,"0,52"
2024-02-11 09:00,41,9,"0,76"
2024-02-11 10:00,23,16,"0,5"
2024-02-11 11:00,19,9,"0,31"
2024-02-11 12:00,16,7,"0,3"
2024-02-11 13:00,19,5,"0,3"
2024-02-11 14:00,23,5,"0,34"
2024-02-11 15:00,23,6,"0,34"
2024-02-11 16:00,30,8,"0,35"
2024-02-11 17:00,22,8,"0,36"
