Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,29,9,"0,27"
2024-02-10 02:00,30,6,"0,27"
2024-02-10 03:00,"22,7",4,"0,27"
2024-02-10 04:00,"21,2",14,"0,35"
2024-02-10 05:00,"24,3",13,"0,33"
2024-02-10 06:00,"26,6",11,"0,35"
2024-02-10 07:00,22,14,"0,53"
2024-02-10 08:00,50,19,"0,57"
2024-02-10 09:00,"56,6",18,"0,57"
2024-02-10 10:00,"55,5",11,"0,39"
2024-02-10 11:00,"40,5",8,"0,31"
2024-02-10 12:00,"39,8",5,"0,3"
2024-02-10 13:00,"29,9",10,"0,26"
2024-02-10 14:00,"32,8",6,"0,26"
2024-02-10 15:00,39,8,"0,26"
2024-02-10 16:00,"28,2",6,"0,22"
2024-02-10 17:00,"20,8",8,"0,23"
2024-02-10 18:00,"20,2",10,"0,25"
2024-02-10 19:00,"20,3",7,"0,26"
2024-02-10 20:00,"15,5",3,"0,28"
2024-02-10 21:00,"18,3",6,"0,32"
2024-02-10 22:00,"21,2",9,"0,33"
2024-02-10 23:00,"19,1",7,"0,29"
2024-02-10 24:00,"28,3",11,"0,36"
2024-02-10 01:00,29,9,"0,27"
2024-02-10 02:00,30,6,"0,27"
2024-02-10 03:00,"22,7",4,"0,27"
2024-02-10 04:00,"21,2",14,"0,35"
2024-02-10 05:00,"24,3",13,"0,33"
2024-02-10 06:00,"26,6",11,"0,35"
2024-02-10 07:00,22,14,"0,53"
2024-02-10 08:00,50,19,"0,57"
2024-02-10 09:00,"56,6",18,"0,57"
2024-02-10 10:00,"55,5",11,"0,39"
2024-02-10 11:00,"40,5",8,"0,31"
2024-02-10 12:00,"39,8",5,"0,3"
2024-02-10 13:00,"29,9",10,"0,26"
2024-02-10 14:00,"32,8",6,"0,26"
2024-02-10 15:00,39,8,"0,26"
2024-02-10 16:00,"28,2",6,"0,22"
2024-02-10 17:00,"20,8",8,"0,23"
2024-02-10 18:00,"20,2",10,"0,25"
2024-02-10 19:00,"20,3",7,"0,26"
2024-02-10 20:00,"15,5",3,"0,28"
2024-02-10 21:00,"18,3",6,"0,32"
2024-02-10 22:00,"21,2",9,"0,33"
2024-02-10 23:00,"19,1",7,"0,29"
2024-02-10 24:00,"28,3",11,"0,36"
2024-02-11 01:00,"24,9",21,"0,38"
2024-02-11 02:00,"50,2",10,"0,41"
2024-02-11 03:00,"38,7",12,"0,45"
2024-02-11 04:00,"35,5",16,"0,46"
2024-02-11 05:00,"31,2",17,"0,47"
2024-02-11 06:00,26,26,"0,45"
2024-02-11 07:00,39,17,"0,54"
2024-02-11 08:00,"40,9",31,"0,53"
2024-02-11 09:00,"39,9",13,"0,38"
2024-02-11 10:00,"45,8",7,"0,3"
2024-02-11 11:00,"33,4",4,"0,26"
2024-02-11 12:00,"25,1",2,"0,24"
2024-02-11 13:00,"21,5",2,"0,24"
2024-02-11 14:00,"20,2",6,"0,24"
2024-02-11 15:00,"16,2",5,"0,23"
2024-02-11 16:00,12,5,"0,21"
2024-02-11 17:00,"17,9",5,"0,21"
2024-02-11 18:00,"13,8",9,"0,25"
2024-02-11 19:00,"24,1",15,"0,26"
2024-02-11 20:00,"22,8",9,"0,29"
2024-02-11 21:00,"19,8",14,"0,3"
2024-02-11 22:00,"33,9",15,"0,39"
2024-02-11 23:00,24,14,"0,39"
2024-02-11 24:00,"31,9",18,"0,33"
2024-02-12 01:00,"39,3",14,"0,33"
2024-02-12 02:00,"28,8",12,"0,33"
2024-02-12 03:00,"42,9",10,"0,35"
2024-02-12 04:00,"35,1",17,"0,34"
2024-02-12 05:00,"36,1",18,"0,35"
2024-02-12 06:00,"43,3",34,"0,55"
