Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,16,7,"0,72"
2024-02-10 02:00,19,6,"0,62"
2024-02-10 03:00,11,4,"0,6"
2024-02-10 04:00,24,8,"0,73"
2024-02-10 05:00,139,28,"1,19"
2024-02-10 06:00,75,28,"1,56"
2024-02-10 07:00,85,31,2
2024-02-10 08:00,92,36,"2,39"
2024-02-10 09:00,75,33,"1,91"
2024-02-10 10:00,22,5,"0,71"
2024-02-10 11:00,16,6,"0,71"
2024-02-10 12:00,20,5,"0,68"
2024-02-10 13:00,16,8,"0,66"
2024-02-10 14:00,13,6,"0,75"
2024-02-10 15:00,12,8,"0,72"
2024-02-10 16:00,16,8,"0,74"
2024-02-10 17:00,10,5,"0,77"
2024-02-10 18:00,18,2,"0,75"
2024-02-10 19:00,9,5,"0,81"
2024-02-10 20:00,15,6,"1,01"
2024-02-10 21:00,16,12,"0,96"
2024-02-10 22:00,16,10,"0,87"
2024-02-10 23:00,12,10,"0,81"
2024-02-10 24:00,10,7,"0,71"
2024-02-10 01:00,16,7,"0,72"
2024-02-10 02:00,19,6,"0,62"
2024-02-10 03:00,11,4,"0,6"
2024-02-10 04:00,24,8,"0,73"
2024-02-10 05:00,139,28,"1,19"
2024-02-10 06:00,75,28,"1,56"
2024-02-10 07:00,85,31,2
2024-02-10 08:00,92,36,"2,39"
2024-02-10 09:00,75,33,"1,91"
2024-02-10 10:00,22,5,"0,71"
2024-02-10 11:00,16,6,"0,71"
2024-02-10 12:00,20,5,"0,68"
2024-02-10 13:00,16,8,"0,66"
2024-02-10 14:00,13,6,"0,75"
2024-02-10 15:00,12,8,"0,72"
2024-02-10 16:00,16,8,"0,74"
2024-02-10 17:00,10,5,"0,77"
2024-02-10 18:00,18,2,"0,75"
2024-02-10 19:00,9,5,"0,81"
2024-02-10 20:00,15,6,"1,01"
2024-02-10 21:00,16,12,"0,96"
2024-02-10 22:00,16,10,"0,87"
2024-02-10 23:00,12,10,"0,81"
2024-02-10 24:00,10,7,"0,71"
2024-02-11 01:00,10,7,"0,69"
2024-02-11 02:00,37,13,"1,01"
2024-02-11 03:00,33,10,"0,8"
2024-02-11 04:00,39,19,"1,12"
2024-02-11 05:00,54,17,"1,23"
2024-02-11 06:00,49,22,"1,34"
2024-02-11 07:00,46,18,"1,29"
2024-02-11 08:00,35,13,"0,93"
2024-02-11 09:00,33,10,"0,85"
2024-02-11 10:00,15,11,"0,68"
2024-02-11 11:00,11,7,"0,66"
2024-02-11 12:00,17,4,"0,7"
2024-02-11 13:00,20,8,"0,65"
2024-02-11 14:00,15,6,"0,61"
2024-02-11 15:00,12,4,"0,63"
2024-02-11 16:00,13,10,"0,63"
2024-02-11 17:00,16,8,"0,63"
2024-02-11 18:00,24,13,"0,73"
2024-02-11 19:00,20,8,"0,78"
2024-02-11 20:00,21,16,"0,77"
2024-02-11 21:00,37,13,"0,79"
2024-02-11 22:00,19,15,"0,75"
2024-02-11 23:00,18,8,"0,69"
2024-02-11 24:00,29,12,"0,67"
2024-02-12 01:00,12,9,"0,59"
2024-02-12 02:00,12,6,"0,56"
2024-02-12 03:00,24,11,"0,58"
2024-02-12 04:00,22,14,"0,6"
2024-02-12 05:00,42,14,"0,86"
2024-02-12 06:00,51,30,"1,22"
2024-02-12 07:00,50,25,"1,34"
2024-02-12 08:00,37,16,"1,25"
2024-02-12 09:00,85,35,"2,28"
2024-02-12 10:00,87,41,"1,97"
2024-02-12 11:00,33,15,"1,01"
2024-02-12 12:00,14,5,"0,64"
2024-02-12 13:00,64,26,"0,99"
2024-02-12 14:00,84,34,"0,98"
2024-02-12 15:00,79,33,1
2024-02-12 16:00,72,30,"0,98"
2024-02-12 17:00,69,32,"1,1"
2024-02-12 18:00,68,34,"1,23"
2024-02-12 19:00,70,32,"1,53"
2024-02-12 20:00,56,32,"1,17"
2024-02-12 21:00,78,37,"1,22"
2024-02-12 22:00,32,20,"1,08"
2024-02-12 23:00,56,22,"1,07"
2024-02-12 24:00,31,19,"0,83"
2024-02-13 01:00,41,14,"0,69"
2024-02-13 02:00,39,15,"0,66"
2024-02-13 03:00,34,20,"0,64"
2024-02-13 04:00,42,19,"0,67"
2024-02-13 05:00,46,22,"0,68"
2024-02-13 06:00,73,25,"1,13"
2024-02-13 07:00,59,28,"1,41"
2024-02-13 08:00,47,18,"1,03"
2024-02-13 09:00,37,18,"0,85"
2024-02-13 10:00,36,13,"0,82"
2024-02-13 11:00,39,18,"0,64"
2024-02-13 12:00,31,8,"0,61"
2024-02-13 13:00,35,12,"0,66"
2024-02-13 14:00,36,20,"0,71"
2024-02-13 15:00,75,43,"1,01"
2024-02-13 16:00,62,30,"0,9"
2024-02-13 17:00,79,32,"1,05"
2024-02-13 18:00,61,31,"1,18"
2024-02-13 19:00,52,22,"0,89"
2024-02-13 20:00,33,21,"0,8"
2024-02-13 21:00,38,16,"0,8"
2024-02-13 22:00,35,13,"0,76"
2024-02-13 23:00,33,19,"0,86"
2024-02-13 24:00,38,24,"0,71"
2024-02-14 01:00,32,19,"0,62"
2024-02-14 02:00,35,15,"0,62"
2024-02-14 03:00,35,15,"0,63"
2024-02-14 04:00,32,15,"0,62"
2024-02-14 05:00,31,13,"0,61"
2024-02-14 06:00,24,16,"0,83"
2024-02-14 07:00,34,16,"1,2"
2024-02-14 08:00,36,16,"0,92"
2024-02-14 09:00,32,"2,5","0,72"
2024-02-14 10:00,33,16,"0,67"
2024-02-14 11:00,26,10,"0,7"
2024-02-14 12:00,31,12,"0,71"
2024-02-14 13:00,,14,"0,73"
2024-02-14 14:00,35,10,"0,72"
2024-02-14 15:00,35,13,"0,79"
2024-02-14 16:00,24,11,"0,82"
2024-02-14 17:00,30,15,"0,8"
2024-02-14 18:00,37,16,"0,88"
2024-02-14 19:00,32,16,"0,99"
2024-02-14 20:00,28,15,"0,88"
2024-02-14 21:00,24,15,"1,01"
2024-02-14 22:00,27,14,"0,96"
2024-02-14 23:00,26,11,"0,84"
2024-02-14 24:00,30,19,"0,75"
2024-02-15 01:00,36,16,"0,69"
2024-02-15 02:00,30,14,"0,66"
2024-02-15 03:00,27,19,"0,63"
2024-02-15 04:00,27,21,"0,65"
2024-02-15 05:00,24,23,"0,68"
2024-02-15 06:00,30,19,"0,79"
2024-02-15 07:00,30,17,"0,94"
2024-02-15 08:00,47,15,"0,87"
2024-02-15 09:00,44,18,"0,84"
2024-02-15 10:00,45,14,"0,81"
2024-02-15 11:00,54,12,"0,83"
2024-02-15 12:00,28,7,"0,81"
2024-02-15 13:00,27,9,"0,86"
2024-02-15 14:00,23,8,"0,86"
2024-02-15 15:00,20,13,"0,88"
2024-02-15 16:00,40,15,"0,8"
2024-02-15 17:00,36,15,"0,77"
2024-02-15 18:00,28,10,"0,83"
2024-02-15 19:00,32,18,1
2024-02-15 20:00,35,8,1
2024-02-15 21:00,30,21,"0,99"
2024-02-15 22:00,23,11,1
2024-02-15 23:00,17,11,"0,81"
2024-02-15 24:00,24,6,"0,81"
2024-02-16 01:00,22,9,"0,72"
2024-02-16 02:00,14,13,"0,68"
2024-02-16 03:00,19,10,"0,7"
2024-02-16 04:00,15,6,"0,66"
2024-02-16 05:00,16,6,"0,74"
2024-02-16 06:00,16,9,"0,95"
2024-02-16 07:00,16,6,"1,02"
2024-02-16 08:00,37,15,"1,11"
2024-02-16 09:00,35,10,
2024-02-16 10:00,28,9,"0,45"
2024-02-16 11:00,34,10,"0,39"
2024-02-16 12:00,13,5,"0,45"
2024-02-16 13:00,19,"2,2","0,41"
2024-02-16 14:00,14,6,"0,42"
2024-02-16 15:00,14,6,"0,39"
2024-02-16 16:00,10,6,"0,44"
2024-02-16 17:00,6,6,"0,53"
2024-02-16 18:00,23,8,"0,51"
2024-02-16 19:00,18,9,"0,65"
2024-02-16 20:00,20,12,"0,59"
2024-02-16 21:00,17,12,"0,64"
2024-02-16 22:00,17,6,"0,55"
2024-02-16 23:00,14,5,"0,47"
2024-02-16 24:00,11,6,"0,42"
2024-02-17 01:00,,11,"0,36"
2024-02-17 02:00,7,7,"0,35"
2024-02-17 03:00,5,5,"0,35"
2024-02-17 04:00,4,3,"0,35"
2024-02-17 05:00,9,5,"0,36"
2024-02-17 06:00,8,3,"0,46"
2024-02-17 07:00,15,3,"0,65"
2024-02-17 08:00,12,9,"0,53"
2024-02-17 09:00,16,7,"0,49"
2024-02-17 10:00,27,12,"0,46"
2024-02-17 11:00,25,7,"0,43"
2024-02-17 12:00,45,6,"0,35"
2024-02-17 13:00,34,9,"0,35"
2024-02-17 14:00,21,7,"0,35"
