Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"11,2",4,"0,25"
2024-02-10 02:00,"11,2",4,"0,24"
2024-02-10 03:00,8,8,"0,25"
2024-02-10 04:00,10,10,"0,33"
2024-02-10 05:00,"15,9",6,"0,26"
2024-02-10 06:00,4,4,"0,29"
2024-02-10 07:00,,15,"0,38"
2024-02-10 08:00,12,5,"0,52"
2024-02-10 09:00,21,8,"0,44"
2024-02-10 10:00,"10,7",6,"0,35"
2024-02-10 11:00,"11,4",1,"0,28"
2024-02-10 12:00,"9,2",4,"0,27"
2024-02-10 13:00,10,5,"0,29"
2024-02-10 14:00,"10,7",6,"0,27"
2024-02-10 15:00,11,4,"0,26"
2024-02-10 16:00,"9,7",,"0,24"
2024-02-10 17:00,"6,5",1,"0,24"
2024-02-10 18:00,"8,3",1,"0,24"
2024-02-10 19:00,"6,8",0,"0,26"
2024-02-10 20:00,7,0,"0,29"
2024-02-10 21:00,"9,5",5,"0,31"
2024-02-10 22:00,"32,5",5,"0,3"
2024-02-10 23:00,"36,2",6,"0,29"
2024-02-10 24:00,"11,2",8,"0,34"
2024-02-10 01:00,"11,2",4,"0,25"
2024-02-10 02:00,"11,2",4,"0,24"
2024-02-10 03:00,8,8,"0,25"
2024-02-10 04:00,10,10,"0,33"
2024-02-10 05:00,"15,9",6,"0,26"
2024-02-10 06:00,4,4,"0,29"
2024-02-10 07:00,,15,"0,38"
2024-02-10 08:00,12,5,"0,52"
2024-02-10 09:00,21,8,"0,44"
2024-02-10 10:00,"10,7",6,"0,35"
2024-02-10 11:00,"11,4",1,"0,28"
2024-02-10 12:00,"9,2",4,"0,27"
2024-02-10 13:00,10,5,"0,29"
2024-02-10 14:00,"10,7",6,"0,27"
2024-02-10 15:00,11,4,"0,26"
2024-02-10 16:00,"9,7",,"0,24"
2024-02-10 17:00,"6,5",1,"0,24"
2024-02-10 18:00,"8,3",1,"0,24"
2024-02-10 19:00,"6,8",0,"0,26"
2024-02-10 20:00,7,0,"0,29"
2024-02-10 21:00,"9,5",5,"0,31"
2024-02-10 22:00,"32,5",5,"0,3"
2024-02-10 23:00,"36,2",6,"0,29"
2024-02-10 24:00,"11,2",8,"0,34"
2024-02-11 01:00,"16,9",12,"0,37"
2024-02-11 02:00,"10,9",7,"0,56"
2024-02-11 03:00,"15,4",3,"0,55"
2024-02-11 04:00,"20,7",8,"0,37"
2024-02-11 05:00,"13,7",11,"0,51"
2024-02-11 06:00,"14,6",7,"0,41"
2024-02-11 07:00,"16,8",7,"0,79"
2024-02-11 08:00,"27,1",7,"0,8"
2024-02-11 09:00,"44,4",9,"0,57"
2024-02-11 10:00,"17,8",11,"0,25"
2024-02-11 11:00,"8,5",6,"0,27"
2024-02-11 12:00,7,6,"0,23"
2024-02-11 13:00,"15,2",6,"0,25"
2024-02-11 14:00,9,5,"0,25"
2024-02-11 15:00,17,17,"0,23"
2024-02-11 16:00,"8,7",8,"0,22"
2024-02-11 17:00,"10,5",8,"0,23"
2024-02-11 18:00,"15,9",4,"0,25"
2024-02-11 19:00,"16,6",0,"0,25"
2024-02-11 20:00,"12,4",3,"0,28"
2024-02-11 21:00,"15,4",10,"0,28"
2024-02-11 22:00,"18,6",12,"0,28"
2024-02-11 23:00,"20,3",9,"0,27"
2024-02-11 24:00,"21,3",6,"0,25"
2024-02-12 01:00,21,5,"0,24"
2024-02-12 02:00,"24,5",7,"0,23"
2024-02-12 03:00,20,7,"0,23"
2024-02-12 04:00,"24,2",8,"0,23"
2024-02-12 05:00,12,12,"0,24"
2024-02-12 06:00,"17,8",8,"0,4"
2024-02-12 07:00,"29,2",15,"1,45"
2024-02-12 08:00,"59,2",24,"1,64"
2024-02-12 09:00,"54,6",20,"0,95"
2024-02-12 10:00,"34,7",19,"0,43"
2024-02-12 11:00,"28,6",12,"0,4"
2024-02-12 12:00,"28,9",12,"0,49"
2024-02-12 13:00,"32,8",12,"0,45"
2024-02-12 14:00,"31,5",14,"0,38"
2024-02-12 15:00,"28,1",20,"0,53"
2024-02-12 16:00,"56,5",17,"0,56"
2024-02-12 17:00,"52,2",35,"0,61"
2024-02-12 18:00,"53,1",29,"0,63"
2024-02-12 19:00,"47,3",16,"0,68"
2024-02-12 20:00,"54,1",25,"0,78"
2024-02-12 21:00,"56,3",35,"0,8"
2024-02-12 22:00,"51,4",26,"0,75"
2024-02-12 23:00,"45,1",30,"0,82"
2024-02-12 24:00,"46,4",25,"0,6"
2024-02-13 01:00,"34,7",17,"0,52"
2024-02-13 02:00,31,18,"0,42"
2024-02-13 03:00,"25,9",11,"0,48"
2024-02-13 04:00,"26,4",22,"0,48"
2024-02-13 05:00,"28,3",21,"0,36"
2024-02-13 06:00,"23,7",18,"0,63"
2024-02-13 07:00,"38,3",15,"1,52"
2024-02-13 08:00,"77,6",39,"1,35"
2024-02-13 09:00,"46,6",26,"0,53"
2024-02-13 10:00,"30,3",21,"0,33"
2024-02-13 11:00,"15,7",8,"0,33"
2024-02-13 12:00,"19,1",19,"0,32"
2024-02-13 13:00,"21,3",13,"0,34"
2024-02-13 14:00,"27,6",16,"0,33"
2024-02-13 15:00,"31,9",9,"0,31"
2024-02-13 16:00,"22,5",10,"0,62"
2024-02-13 17:00,"82,2",33,"0,73"
2024-02-13 18:00,"63,4",24,"0,61"
2024-02-13 19:00,"23,7",0,"0,42"
2024-02-13 20:00,"28,1",19,"0,34"
2024-02-13 21:00,"27,8",5,"0,33"
2024-02-13 22:00,"25,5",8,"0,31"
2024-02-13 23:00,37,17,"0,29"
2024-02-13 24:00,"27,4",16,"0,28"
2024-02-14 01:00,"19,8",4,"0,27"
2024-02-14 02:00,"22,1",7,"0,27"
2024-02-14 03:00,18,18,"0,26"
2024-02-14 04:00,"17,7",13,"0,26"
2024-02-14 05:00,"17,3",9,"0,25"
2024-02-14 06:00,"19,8",7,"0,28"
2024-02-14 07:00,"20,1",9,"0,44"
2024-02-14 08:00,"19,1",11,"0,42"
2024-02-14 09:00,"17,8",13,"0,34"
2024-02-14 10:00,"23,5",11,"0,32"
2024-02-14 11:00,"21,8",15,"0,35"
2024-02-14 12:00,"22,8",13,"0,31"
2024-02-14 13:00,"27,4",9,"0,34"
2024-02-14 14:00,"21,6",10,"0,36"
2024-02-14 15:00,"16,4",11,"0,37"
