Fecha Hora,PM10 [µg/m3],PM2.5 [µg/m3],CO [ppm]
2024-02-10 01:00,"16,2","5,1","0,31"
2024-02-10 02:00,"12,7","5,5","0,28"
2024-02-10 03:00,"12,4","5,8","0,28"
2024-02-10 04:00,"17,8","5,7","0,28"
2024-02-10 05:00,"10,4","5,6","0,32"
2024-02-10 06:00,"5,7","5,5","0,62"
2024-02-10 07:00,"15,4","5,4","1,16"
2024-02-10 08:00,"40,1","6,4","0,68"
2024-02-10 09:00,"49,2","6,5","0,39"
2024-02-10 10:00,"28,6",7,"0,34"
2024-02-10 11:00,"20,9","6,2","0,32"
2024-02-10 12:00,"22,4","5,5","0,34"
2024-02-10 13:00,"15,3","4,9","0,38"
2024-02-10 14:00,"22,5","4,3","0,32"
2024-02-10 15:00,"13,1","5,9","0,44"
2024-02-10 16:00,"23,3","6,3","0,44"
2024-02-10 17:00,"23,5","5,7","0,38"
2024-02-10 18:00,"13,7","4,9","0,43"
2024-02-10 19:00,"7,8","4,4","0,57"
2024-02-10 20:00,"21,6","3,7","0,8"
2024-02-10 21:00,25,"7,7","0,47"
2024-02-10 22:00,"25,2",7,"0,58"
2024-02-10 23:00,"15,3","6,1","0,53"
2024-02-10 24:00,"16,3","7,2","0,39"
2024-02-10 01:00,"16,2","5,1","0,31"
2024-02-10 02:00,"12,7","5,5","0,28"
2024-02-10 03:00,"12,4","5,8","0,28"
2024-02-10 04:00,"17,8","5,7","0,28"
2024-02-10 05:00,"10,4","5,6","0,32"
2024-02-10 06:00,"5,7","5,5","0,62"
2024-02-10 07:00,"15,4","5,4","1,16"
2024-02-10 08:00,"40,1","6,4","0,68"
2024-02-10 09:00,"49,2","6,5","0,39"
2024-02-10 10:00,"28,6",7,"0,34"
2024-02-10 11:00,"20,9","6,2","0,32"
2024-02-10 12:00,"22,4","5,5","0,34"
2024-02-10 13:00,"15,3","4,9","0,38"
2024-02-10 14:00,"22,5","4,3","0,32"
2024-02-10 15:00,"13,1","5,9","0,44"
2024-02-10 16:00,"23,3","6,3","0,44"
2024-02-10 17:00,"23,5","5,7","0,38"
2024-02-10 18:00,"13,7","4,9","0,43"
2024-02-10 19:00,"7,8","4,4","0,57"
2024-02-10 20:00,"21,6","3,7","0,8"
2024-02-10 21:00,25,"7,7","0,47"
